,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,0.3333333333333333,,,,,
天津,0.25,,,,,,,,,
河北,0.3769633507853403,0.2352941176470588,,0.3370786516853933,0.15,0.17194570135746606,0.3789473684210526,0.2261904761904762,0.19191919191919188,0.047619047619047616
山西,0.37837837837837834,0.5390070921985816,0.07692307692307693,0.41025641025641024,0.5945945945945946,0.044444444444444446,0.13157894736842105,0.13333333333333333,0.6738197424892705,
內蒙古自治區,,,,,,,,,0.8,
遼寧,,,,,,,,,0.45000000000000007,0.8888888888888888
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.6666666666666667
上海,0.2222222222222222,0.610062893081761,0.18604651162790697,0.5576923076923077,,0.15384615384615385,0.5287356321839081,0.14285714285714288,0.6265060240963857,
江蘇,0.42,0.3904382470119522,0.2857142857142857,0.44954128440366964,0.4318181818181819,0.3146853146853147,0.5,0.28571428571428575,0.23737373737373735,0.33333333333333337
浙江,0.34545454545454546,0.5053003533568905,0.14285714285714285,0.2413793103448276,0.5043478260869565,0.35353535353535354,0.1923076923076923,0.16,0.2777777777777778,
安徽,0.2352941176470588,0.10000000000000002,0.25,0.38372093023255816,0.2222222222222222,0.28947368421052627,0.08695652173913045,0.3953488372093023,0.11666666666666667,
福建,0.13333333333333333,0.18333333333333332,0.13793103448275862,0.10869565217391304,0.2857142857142857,0.2413793103448276,,,0.06779661016949154,
江西,0.125,0.20661157024793386,0.47058823529411764,0.4444444444444444,0.3571428571428572,0.3804347826086957,0.07692307692307691,0.31896551724137934,0.4666666666666666,
山東,0.049999999999999996,0.2623574144486692,0.2549019607843137,0.30392156862745096,0.23880597014925375,0.2576419213973799,0.1875,0.05511811023622048,0.293040293040293,0.36619718309859156
河南,0.1607142857142857,0.38207547169811323,0.4285714285714286,0.5340909090909091,,0.17567567567567569,0.28,0.07692307692307693,0.26956521739130435,
湖北,0.37037037037037035,0.0851063829787234,,0.1,0.3,0.3474576271186441,0.08888888888888889,0.25675675675675674,0.13846153846153844,
湖南,0.411764705882353,0.07575757575757576,,0.2054794520547945,0.11764705882352941,0.40963855421686746,0.03773584905660377,0.27722772277227725,0.3,
廣東,,0.03508771929824561,,0.0857142857142857,,0.12195121951219513,0.07142857142857144,0.36363636363636365,0.1796875,
廣西壯族自治區,,0.2962962962962963,,0.06382978723404255,,0.1388888888888889,,,0.075,0.25
海南,,,,,0.3333333333333333,,,,,
重慶,,,,,,,0.25,0.5,,
四川,,,,0.04545454545454545,0.25,,0.23076923076923078,0.4626865671641791,0.4716981132075472,
貴州,,0.3333333333333333,,,0.28571428571428575,0.39999999999999997,,,,
雲南,,0.1818181818181818,0.3076923076923077,,0.16,,,,0.125,
西藏自治區,,0.0,,,,,,,,
陝西,0.29787234042553196,0.1904761904761905,,,0.21428571428571427,0.13333333333333333,,0.2619047619047619,0.44642857142857145,
甘肅,,,,0.4,0.2222222222222222,,,,0.125,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.923076923076923,,,0.75,,,,0.052631578947368425,
