,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6,,,,,,,0.5882352941176471,
天津,,,,,,,,,0.7999999999999999,
河北,0.14136125654450263,0.35947712418300654,,0.1460674157303371,0.21999999999999997,0.36651583710407243,0.5894736842105263,0.17857142857142858,0.19191919191919188,0.3333333333333333
山西,0.18918918918918917,0.1843971631205674,,0.20512820512820512,0.08108108108108107,0.1111111111111111,0.05263157894736842,0.21666666666666667,0.351931330472103,
內蒙古自治區,,,,,,,,,1.0,
遼寧,,,,,,,,,0.15,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.2222222222222222,0.4779874213836478,0.7209302325581396,0.38461538461538464,,0.5,0.2183908045977012,0.14285714285714288,0.5662650602409639,
江蘇,0.22,0.2390438247011952,0.2857142857142857,0.18348623853211007,0.4772727272727273,0.06993006993006994,0.14864864864864866,0.5238095238095238,0.3737373737373737,0.8
浙江,0.07272727272727274,0.3745583038869258,,0.3103448275862069,0.2608695652173913,0.3080808080808081,0.4326923076923077,0.26,0.33888888888888885,
安徽,0.1176470588235294,0.125,,0.06976744186046512,0.07407407407407407,0.14473684210526314,0.1956521739130435,0.3488372093023256,0.05,
福建,0.044444444444444446,0.06666666666666667,0.13793103448275862,0.3478260869565218,0.14285714285714285,0.06896551724137931,,0.125,0.06779661016949154,
江西,0.5,0.09917355371900827,,0.08888888888888888,0.17142857142857146,0.10869565217391304,0.10769230769230767,0.28448275862068967,0.4666666666666666,
山東,0.075,0.09125475285171103,0.23529411764705882,0.28431372549019607,0.22388059701492538,0.44978165938864634,0.3263888888888889,0.4488188976377953,0.40293040293040294,0.6901408450704226
河南,0.46428571428571425,0.2783018867924528,0.14285714285714285,0.10227272727272727,0.23529411764705885,0.2702702702702703,,0.15384615384615385,0.4869565217391304,0.23076923076923075
湖北,0.07407407407407407,0.1276595744680851,,0.1,,0.1271186440677966,0.22222222222222224,0.10810810810810811,0.21538461538461537,0.3333333333333333
湖南,0.14705882352941177,0.030303030303030304,,0.12328767123287672,0.058823529411764705,0.14457831325301204,0.22641509433962262,0.5841584158415841,0.09999999999999999,
廣東,,0.37719298245614036,,0.09999999999999999,0.13636363636363638,0.21951219512195125,0.07142857142857144,0.5714285714285714,0.2109375,
廣西壯族自治區,,0.4444444444444444,,0.02127659574468085,,0.11111111111111112,0.3333333333333333,0.0625,0.15,
海南,,,,,,,,,,
重慶,,,,,,,,0.5714285714285715,0.08695652173913042,
四川,,,,0.11363636363636363,,0.11764705882352942,,0.22388059701492538,0.18867924528301885,
貴州,,,,,,,,,0.09090909090909091,
雲南,,0.1818181818181818,,0.1764705882352941,,,0.08333333333333333,,0.10714285714285714,
西藏自治區,,0.0,,,,0.041666666666666664,,,,
陝西,0.06382978723404256,0.4761904761904762,,,,0.28888888888888886,,0.07142857142857142,0.35714285714285715,
甘肅,0.22222222222222224,,,0.05,0.05555555555555555,1.0,,0.75,0.16666666666666669,
青海,,,0.0,,,,,,0.3333333333333333,
寧夏回族自治區,,,,,,,,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.25,,,,0.47368421052631576,
