,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,0.5,,0.2222222222222222,
天津,,1.0,,,,,0.9090909090909092,,0.2162162162162162,
河北,0.5595238095238095,0.4067796610169492,,0.0606060606060606,0.40740740740740744,0.37142857142857144,0.5571428571428572,0.4794520547945206,0.410958904109589,
山西,0.35294117647058826,0.3125,0.8,0.5172413793103449,,,0.3018867924528302,0.23076923076923075,0.32258064516129037,
內蒙古自治區,,,,,,,,,1.0,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.3333333333333333,0.43877551020408156,,0.4482758620689655,,0.09523809523809525,0.30000000000000004,0.14285714285714288,0.525,
江蘇,0.2702702702702703,0.4576271186440678,0.44262295081967207,0.44247787610619466,0.5348837209302326,0.4938271604938271,0.5454545454545455,0.6440677966101696,0.11940298507462685,0.2545454545454545
浙江,0.4558823529411765,0.5603448275862069,,0.32857142857142857,0.518867924528302,0.47741935483870973,0.4285714285714286,0.2619047619047619,0.32330827067669177,0.5
安徽,0.3728813559322034,0.22222222222222224,0.06666666666666667,0.03508771929824562,0.13333333333333336,0.18750000000000003,0.37931034482758624,0.11363636363636363,0.22,
福建,0.23809523809523808,0.14166666666666666,0.125,0.19999999999999998,0.11538461538461539,0.5,,,0.46874999999999994,
江西,0.5161290322580645,0.1590909090909091,0.42857142857142855,0.12121212121212122,0.6808510638297873,0.20967741935483872,0.559322033898305,0.39344262295081966,0.18181818181818182,0.5555555555555556
山東,0.4727272727272727,0.3577981651376147,,0.632183908045977,0.14285714285714288,0.6559139784946236,0.6238532110091743,0.45283018867924535,0.6568047337278107,0.8600000000000001
河南,0.6666666666666666,0.5696969696969697,0.5,0.5434782608695653,0.38461538461538464,0.18181818181818182,0.25,0.5106382978723405,0.49438202247191004,0.7142857142857143
湖北,,0.03125,,0.27999999999999997,,0.32727272727272727,0.18181818181818182,0.039473684210526314,0.22448979591836735,
湖南,0.3333333333333333,0.06666666666666667,,,0.05555555555555555,0.125,0.06896551724137931,0.06976744186046512,,0.33333333333333337
廣東,0.22093023255813954,0.12578616352201258,0.14705882352941177,0.13414634146341464,0.16666666666666666,0.42187500000000006,,0.25925925925925924,0.16129032258064516,
廣西壯族自治區,,,,0.0625,,,,,0.18181818181818182,
海南,0.6,,,0.2857142857142857,,,,,0.23076923076923075,
重慶,,,,,0.25,0.21052631578947367,,0.5,0.1724137931034483,
四川,,0.07692307692307691,,0.05714285714285714,,0.09999999999999999,0.23333333333333336,0.33333333333333337,0.13846153846153847,0.16666666666666669
貴州,,,,,0.28571428571428575,0.25,0.6666666666666666,,0.4634146341463415,
雲南,,0.27777777777777773,,0.14285714285714285,0.4444444444444445,,0.15384615384615383,0.1875,0.075,
西藏自治區,,0.0,,,,,,,,
陝西,0.5,0.6,,,,,0.16666666666666669,0.6,0.5454545454545454,
甘肅,0.33333333333333337,0.08333333333333333,,,0.8333333333333333,,,,0.19999999999999998,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.5,,,,,,
