,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,1.0,,0.3333333333333333,0.25,,0.9090909090909092,,0.027027027027027025,
河北,0.5238095238095238,0.5254237288135595,,0.0606060606060606,0.3703703703703704,0.38571428571428573,0.4714285714285714,0.273972602739726,0.3835616438356165,
山西,0.14705882352941177,,,0.10344827586206896,,0.08333333333333333,0.3207547169811321,,0.25806451612903225,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,0.5,,,,,
吉林,,,,,,0.6666666666666666,,,,
黑龍江,,,,,,,,,,
上海,0.3333333333333333,0.06632653061224489,0.6,0.10344827586206895,,0.2857142857142857,0.1,0.6190476190476191,0.39166666666666666,
江蘇,0.5,0.44067796610169496,0.6885245901639344,0.48672566371681414,0.20930232558139533,0.7037037037037036,0.2272727272727273,0.4745762711864407,0.34328358208955223,0.5272727272727272
浙江,0.10294117647058824,0.3477011494252874,0.3333333333333333,0.15714285714285714,0.2924528301886793,0.23870967741935487,0.07142857142857144,0.1904761904761905,0.2255639097744361,0.7
安徽,0.0847457627118644,0.1437908496732026,0.5666666666666668,0.368421052631579,0.2,0.125,0.20689655172413793,0.1590909090909091,0.08,
福建,,,0.25,0.19999999999999998,0.03846153846153846,,,,0.25,
江西,0.06451612903225806,0.4431818181818181,0.28571428571428575,0.12121212121212122,0.5106382978723405,0.48387096774193555,0.1864406779661017,0.3852459016393443,,
山東,0.19999999999999998,0.48623853211009177,,0.45977011494252873,0.07142857142857144,0.3172043010752688,0.4862385321100917,0.0849056603773585,0.242603550295858,
河南,0.1234567901234568,0.26666666666666666,,0.30434782608695654,0.4615384615384615,0.045454545454545456,0.25,0.4042553191489362,0.14606741573033707,
湖北,,0.25,0.18181818181818182,0.27999999999999997,,0.3,0.025974025974025976,0.09210526315789475,0.163265306122449,
湖南,0.09523809523809525,0.13333333333333333,,0.1739130434782609,,0.25,0.2068965517241379,0.09302325581395349,,
廣東,0.0813953488372093,0.03773584905660377,0.3235294117647059,0.15853658536585363,0.09523809523809523,0.37500000000000006,0.21621621621621623,,0.17204301075268819,0.44444444444444436
廣西壯族自治區,,,0.06666666666666667,0.125,,,,,0.13636363636363638,
海南,,,,,,,,,,
重慶,,,,0.2,,0.2631578947368421,0.09999999999999999,0.16666666666666666,0.27586206896551724,
四川,,,,0.17142857142857143,,,,0.23076923076923078,0.3538461538461538,
貴州,,,,,,0.04166666666666666,,,0.024390243902439025,
雲南,,0.2222222222222222,,,,,,0.0625,,
西藏自治區,,0.0,,,,,,,,
陝西,0.4166666666666667,0.03333333333333333,,0.4,,0.25,,0.06666666666666667,0.09090909090909091,0.5
甘肅,,0.25,,,,,,0.22222222222222218,,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.75,,,,,,
