,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.4444444444444444,
天津,,,,,0.25,,0.9090909090909092,,0.08108108108108107,
河北,0.25,0.31355932203389836,,0.4848484848484848,0.07407407407407408,0.21428571428571427,0.2571428571428571,0.5068493150684932,0.410958904109589,
山西,0.2058823529411765,0.125,,0.24137931034482762,,,0.2830188679245283,0.07692307692307693,0.7096774193548387,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.3787878787878788,0.4693877551020408,,0.1724137931034483,0.5714285714285714,0.11904761904761904,,0.09523809523809523,0.20833333333333334,
江蘇,0.3108108108108108,0.2966101694915254,0.32786885245901637,0.327433628318584,0.0930232558139535,0.16049382716049382,0.25,0.3389830508474576,0.3582089552238806,0.14545454545454545
浙江,0.3382352941176471,0.49425287356321845,,0.5285714285714286,0.24528301886792453,0.37419354838709673,0.2142857142857143,0.5238095238095238,0.27819548872180455,
安徽,0.4406779661016949,0.24183006535947713,0.4666666666666667,0.4210526315789474,0.13333333333333336,0.21875,0.41379310344827586,0.3636363636363636,0.060000000000000005,
福建,,0.3083333333333333,,0.28421052631578947,0.07692307692307691,0.1,,0.09090909090909091,0.40625,0.36363636363636365
江西,0.32258064516129037,0.45454545454545453,,0.30303030303030304,0.723404255319149,0.4516129032258065,0.0847457627118644,0.18032786885245902,,
山東,0.10909090909090909,0.5596330275229358,,0.3333333333333333,0.03571428571428572,0.44086021505376344,0.3394495412844037,0.44339622641509435,0.43195266272189353,0.22000000000000003
河南,0.3703703703703704,0.4727272727272727,0.5,0.13043478260869565,0.7692307692307693,0.22727272727272727,,0.06382978723404256,0.2696629213483146,
湖北,0.5833333333333333,0.46875,,0.36,0.125,0.13636363636363635,0.18181818181818182,0.3157894736842105,0.28571428571428575,
湖南,0.6190476190476191,0.2888888888888889,,0.04347826086956522,0.16666666666666666,0.31249999999999994,0.27586206896551724,0.13953488372093023,0.4444444444444444,0.5
廣東,0.17441860465116277,0.3081761006289308,,0.24390243902439024,0.07142857142857142,0.39062500000000006,0.21621621621621623,0.12962962962962962,0.26881720430107525,0.44444444444444436
廣西壯族自治區,0.5555555555555556,0.16666666666666666,,,0.38461538461538464,,,,0.18181818181818182,
海南,0.8,,,0.5714285714285714,,,,,0.30769230769230765,
重慶,,,,,,,0.3,0.38888888888888884,0.41379310344827586,
四川,,,0.5,0.02857142857142857,,0.049999999999999996,0.3,0.5384615384615384,0.16923076923076924,0.16666666666666669
貴州,,,,,0.14285714285714288,0.125,,,0.4634146341463415,
雲南,,,0.36363636363636365,0.07142857142857142,,,0.46153846153846156,,0.025,0.5
西藏自治區,,0.0,,,,,,,,
陝西,0.5,,,0.26666666666666666,1.0,0.25,,0.13333333333333333,0.18181818181818182,
甘肅,,0.16666666666666666,,,,,,,0.5999999999999999,
青海,,,0.0,,,,,,0.6,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.5,,,,,0.33333333333333337,
