,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,0.5476190476190476,0.3898305084745763,,0.21212121212121213,0.14814814814814817,0.08571428571428572,0.14285714285714285,0.21917808219178084,0.23287671232876714,
山西,0.4411764705882354,,,0.2758620689655173,,0.25,0.16981132075471697,0.07692307692307693,0.3548387096774194,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.3333333333333333,0.28061224489795916,1.0,,,0.5238095238095238,0.1,,0.11666666666666665,
江蘇,0.4594594594594595,0.2966101694915254,0.5573770491803278,0.18584070796460175,0.2558139534883721,0.4320987654320987,0.11363636363636365,0.22033898305084745,0.04477611940298507,0.3090909090909091
浙江,0.3823529411764706,0.37931034482758624,,0.3,0.3679245283018868,0.36129032258064514,0.2142857142857143,0.2380952380952381,0.24060150375939854,0.3
安徽,0.2711864406779661,0.1437908496732026,0.23333333333333334,0.14035087719298248,,0.40625,0.20689655172413793,0.04545454545454545,,
福建,0.1904761904761905,0.041666666666666664,0.25,0.22105263157894736,0.15384615384615383,,,0.5454545454545454,0.21875,0.4545454545454546
江西,0.3548387096774194,0.22727272727272727,,0.30303030303030304,0.46808510638297873,0.3064516129032258,0.2542372881355932,0.2459016393442623,,0.5555555555555556
山東,0.16363636363636364,0.48623853211009177,,0.4252873563218391,0.2142857142857143,0.2043010752688172,0.28440366972477066,0.12264150943396226,0.3609467455621302,
河南,0.1358024691358025,0.38181818181818183,,0.13043478260869565,0.38461538461538464,,,0.0851063829787234,0.15730337078651685,0.14285714285714285
湖北,0.3333333333333333,0.15625,,,0.125,0.2909090909090909,0.05194805194805195,0.2894736842105263,,0.19999999999999998
湖南,0.5714285714285714,0.15555555555555556,,,,0.15624999999999997,0.13793103448275862,0.4263565891472868,,
廣東,0.1627906976744186,0.1509433962264151,0.20588235294117646,0.24390243902439024,,0.015625,,0.18518518518518517,0.07526881720430108,0.11111111111111109
廣西壯族自治區,0.44444444444444453,0.25,0.2,0.125,0.46153846153846156,,,0.375,0.09090909090909091,
海南,0.8,,,,,,,,,
重慶,,,,,,0.42105263157894735,0.3,0.2777777777777778,0.27586206896551724,
四川,,,,0.08571428571428572,0.14285714285714285,,0.4,0.38461538461538464,0.26153846153846155,
貴州,,0.07142857142857142,,0.3,,0.08333333333333331,,,0.3170731707317073,
雲南,,0.2222222222222222,,,0.7777777777777779,,,,0.025,
西藏自治區,,0.0,,,,,,,,
陝西,0.08333333333333333,0.03333333333333333,,0.13333333333333333,,,,0.06666666666666667,0.09090909090909091,
甘肅,,0.16666666666666666,,,0.8333333333333333,,,0.22222222222222218,0.5999999999999999,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
