,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.3333333333333333,
天津,,1.0,,0.3333333333333333,0.25,,,,0.5405405405405406,
河北,0.8452380952380952,0.4661016949152543,,0.1212121212121212,0.40740740740740744,0.4714285714285714,0.4857142857142857,0.2602739726027397,0.3698630136986301,
山西,0.3823529411764706,0.18750000000000003,,0.24137931034482762,,0.6666666666666666,0.3018867924528302,0.23076923076923075,,
內蒙古自治區,,,,,,,,,0.2857142857142857,
遼寧,,0.5,,,0.25,,,,,
吉林,,,,,,,,,0.16666666666666666,
黑龍江,,,,,,,,,,
上海,0.42424242424242425,0.2704081632653061,0.7999999999999999,0.10344827586206895,0.21428571428571427,0.3333333333333333,0.30000000000000004,0.47619047619047616,0.3416666666666667,0.3333333333333333
江蘇,0.6891891891891891,0.538135593220339,0.8196721311475409,0.25663716814159293,0.6046511627906976,0.8271604938271604,0.3863636363636364,0.4576271186440678,0.5373134328358209,0.8727272727272727
浙江,0.7058823529411765,0.6178160919540231,,0.5,0.3584905660377359,0.5290322580645161,0.28571428571428575,0.14285714285714288,0.4586466165413534,0.2
安徽,0.4576271186440678,0.46405228758169936,0.6333333333333333,0.1929824561403509,,0.5625,0.27586206896551724,0.47727272727272724,0.28,0.19999999999999998
福建,0.380952380952381,0.36666666666666664,0.25,0.3789473684210526,0.34615384615384615,0.2,0.33333333333333337,0.18181818181818182,0.53125,0.09090909090909091
江西,0.16129032258064518,0.36363636363636365,0.5714285714285715,0.3333333333333333,0.04255319148936171,0.5806451612903226,0.4067796610169492,0.5245901639344263,,0.3333333333333333
山東,0.6181818181818182,0.22935779816513763,,0.28735632183908044,0.32142857142857145,0.3333333333333333,0.5504587155963303,0.24528301886792453,0.455621301775148,0.4
河南,0.5679012345679013,0.3696969696969697,,0.5652173913043479,,0.36363636363636365,0.6666666666666667,0.44680851063829785,0.3033707865168539,
湖北,0.5833333333333333,0.125,0.5454545454545454,,0.125,0.4818181818181818,0.4415584415584416,0.368421052631579,0.5102040816326532,
湖南,0.09523809523809525,0.17777777777777778,,0.391304347826087,0.3333333333333333,0.125,0.10344827586206895,0.3643410852713178,0.3333333333333333,0.16666666666666669
廣東,0.22093023255813954,0.3081761006289308,0.5882352941176471,0.41463414634146334,0.6428571428571429,0.39062500000000006,0.35135135135135137,0.33333333333333326,0.5913978494623655,0.22222222222222218
廣西壯族自治區,0.11111111111111113,0.3055555555555555,0.26666666666666666,,0.46153846153846156,0.2,,,0.2272727272727273,0.3333333333333333
海南,0.6,,,0.8571428571428572,,,0.2,,0.15384615384615383,
重慶,,,,0.4,0.25,0.2631578947368421,0.39999999999999997,0.38888888888888884,0.20689655172413793,
四川,,0.07692307692307691,,0.34285714285714286,0.5714285714285714,0.19999999999999998,0.33333333333333337,0.30769230769230765,0.27692307692307694,0.16666666666666669
貴州,,0.2142857142857143,,,,0.25,0.6666666666666666,0.09090909090909091,0.17073170731707318,
雲南,0.8,0.3888888888888889,0.4545454545454546,0.07142857142857142,0.11111111111111112,,0.15384615384615383,0.0625,0.275,0.5
西藏自治區,,0.0,,,,0.5,,,1.0,
陝西,0.08333333333333333,0.5333333333333333,,0.13333333333333333,,,,0.13333333333333333,0.18181818181818182,
甘肅,0.33333333333333337,0.08333333333333333,,,,0.3333333333333333,,,,
青海,,,0.0,,,1.0,,,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
