,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,0.8,,,,,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.02873563218390805,,,,,,,,
安徽,,,,,0.13333333333333336,,,,,
福建,,,,0.031578947368421054,,,,,,
江西,,,,,,,,,,
山東,,,,,,,,0.028301886792452834,,
河南,,,,,,,,,,
湖北,,,,,,,,,,
湖南,,,,,,0.03125,,,,
廣東,,,,,,,,,,
廣西壯族自治區,,,,,,,,,,
海南,,,,,,,,,,
重慶,,,,,,0.10526315789473684,,0.11111111111111112,0.10344827586206896,
四川,,,,,,,0.23333333333333336,,0.16923076923076924,
貴州,,,,,,,,,,
雲南,,,,,,,,,0.075,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.4,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
