,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,0.6363636363636364,,,
河北,0.07142857142857142,0.11864406779661019,,0.18181818181818182,0.11111111111111112,0.04285714285714286,0.39999999999999997,0.23287671232876714,0.2602739726027397,
山西,0.2058823529411765,0.25,,,,,0.1509433962264151,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2346938775510204,,,,,0.06666666666666667,,0.20833333333333334,
江蘇,,0.09745762711864407,0.47540983606557374,0.1415929203539823,,0.06790123456790123,0.11363636363636365,0.2033898305084746,0.14925373134328357,
浙江,0.11764705882352942,0.12643678160919541,,,,0.012903225806451613,0.5,,0.07518796992481203,
安徽,,0.1699346405228758,0.06666666666666667,0.01754385964912281,0.2,0.18750000000000003,0.3103448275862069,0.13636363636363635,0.060000000000000005,
福建,,0.025,,,0.11538461538461539,0.4,,,,0.09090909090909091
江西,0.03225806451612903,0.034090909090909095,,,,0.06451612903225808,0.05084745762711865,,,
山東,0.03636363636363636,0.19266055045871558,,0.25287356321839083,0.14285714285714288,0.3225806451612903,0.6605504587155964,0.34905660377358494,0.2958579881656805,0.1
河南,0.1728395061728395,0.16363636363636364,,0.32608695652173914,,0.13636363636363635,0.08333333333333334,0.2978723404255319,0.14606741573033707,
湖北,,,,0.16,,0.08181818181818182,0.27272727272727276,0.06578947368421054,0.163265306122449,
湖南,,0.044444444444444446,,0.3478260869565218,,0.1875,0.31034482758620685,0.023255813953488372,,
廣東,,0.025157232704402514,0.20588235294117646,,0.09523809523809523,0.40625,,,0.03225806451612903,
廣西壯族自治區,,,,,,0.1,0.5,,0.045454545454545456,
海南,,,,,,,,,,
重慶,,,,,,,,,,
四川,,,,0.02857142857142857,,,,,,
貴州,,,,,,,,,0.1951219512195122,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,0.08333333333333333,,,,,,0.16666666666666669,,,
甘肅,,,,,,,,,0.39999999999999997,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
