,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,,,,,,,,,
天津,,,,,,,,,0.08108108108108107,
河北,0.08333333333333334,0.1610169491525424,,0.0606060606060606,,0.014285714285714285,0.35714285714285715,,0.2602739726027397,
山西,0.11764705882352942,0.18750000000000003,,,,,0.07547169811320754,0.07692307692307693,0.16129032258064518,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.2755102040816326,,0.06896551724137931,,,0.30000000000000004,,0.25833333333333336,
江蘇,0.32432432432432434,0.06779661016949153,,0.1415929203539823,0.186046511627907,0.04938271604938271,0.045454545454545456,0.0847457627118644,0.09701492537313432,
浙江,0.04411764705882353,0.12068965517241381,,0.12857142857142856,0.18867924528301885,0.15483870967741936,0.07142857142857144,0.380952380952381,0.15789473684210528,
安徽,,0.0196078431372549,,0.08771929824561404,,0.09375000000000001,0.27586206896551724,0.13636363636363635,0.04,
福建,,0.025,0.25,0.13684210526315788,0.03846153846153846,,,,,0.09090909090909091
江西,0.12903225806451613,0.011363636363636364,,0.030303030303030304,,0.2580645161290323,,0.14754098360655737,0.09090909090909091,
山東,0.05454545454545454,0.06422018348623854,,0.04597701149425287,0.10714285714285715,0.005376344086021505,0.20183486238532114,0.1509433962264151,0.1715976331360947,0.64
河南,0.04938271604938272,0.2,,,0.7692307692307693,0.18181818181818182,,0.02127659574468085,0.0898876404494382,
湖北,,0.125,,,,0.16363636363636364,0.012987012987012988,0.02631578947368421,0.22448979591836735,
湖南,0.09523809523809525,0.13333333333333333,,0.08695652173913045,0.2777777777777778,0.15624999999999997,0.13793103448275862,0.05426356589147287,0.3333333333333333,
廣東,0.011627906976744184,0.006289308176100628,,,0.07142857142857142,0.078125,0.21621621621621623,0.09259259259259259,,
廣西壯族自治區,,0.02777777777777778,,0.3125,,,,,0.045454545454545456,
海南,,0.25,,,,,,,0.30769230769230765,
重慶,,,,,,0.05263157894736842,,,0.034482758620689655,
四川,,,,,,,,0.1794871794871795,0.26153846153846155,
貴州,,,,,,,,,0.024390243902439025,
雲南,,0.16666666666666666,,,0.11111111111111112,,,0.125,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,,1.0,,,0.26666666666666666,,
甘肅,,0.16666666666666666,,,,,,0.11111111111111109,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.6666666666666667,
