,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,,,,,,1.0,,1.0,
天津,,1.0,,0.6666666666666666,0.5,,0.9090909090909092,,1.0,
河北,0.6547619047619048,0.728813559322034,,0.42424242424242425,0.33333333333333337,0.6714285714285715,0.7857142857142858,0.7808219178082191,0.8082191780821918,
山西,0.9411764705882354,0.5625,1.0,0.6896551724137931,,0.7499999999999999,0.6981132075471699,0.6923076923076923,0.7096774193548387,
內蒙古自治區,,,,,1.0,,1.0,,0.14285714285714285,
遼寧,,,,,1.0,,1.0,1.0,,
吉林,,,,,,,,,1.0,
黑龍江,,,,,,,,,,
上海,0.8333333333333334,0.8010204081632653,0.7999999999999999,0.7586206896551724,0.6428571428571429,0.9047619047619048,0.9666666666666667,0.7142857142857143,0.8833333333333333,0.3333333333333333
江蘇,0.6891891891891891,0.6652542372881356,0.9672131147540983,0.6194690265486725,0.813953488372093,0.7716049382716048,0.9772727272727273,0.8305084745762712,0.7014925373134328,0.8727272727272727
浙江,0.7205882352941178,0.7672413793103449,1.0,0.6857142857142857,0.8490566037735849,0.6516129032258065,0.7857142857142857,0.5238095238095238,0.6992481203007519,0.7
安徽,0.6949152542372882,0.5620915032679739,0.8666666666666667,0.7543859649122807,0.6000000000000001,0.4375,0.4827586206896552,0.5681818181818182,0.5200000000000001,0.7999999999999999
福建,0.5238095238095238,0.4666666666666666,0.8749999999999999,0.5368421052631579,0.5384615384615384,0.6000000000000001,0.6666666666666667,0.7272727272727273,0.5624999999999999,0.6363636363636365
江西,0.7096774193548387,0.5795454545454545,0.14285714285714288,0.6666666666666666,0.723404255319149,0.6290322580645162,0.7457627118644068,0.7950819672131147,0.6363636363636364,0.3333333333333333
山東,0.5454545454545455,0.6238532110091743,,0.6091954022988505,0.8214285714285714,0.8763440860215055,0.8073394495412846,0.7735849056603773,0.7514792899408285,0.9800000000000001
河南,0.7037037037037038,0.6787878787878788,0.75,0.47826086956521746,0.07692307692307693,0.5454545454545454,0.8333333333333334,0.7659574468085106,0.651685393258427,0.8571428571428571
湖北,0.8333333333333333,0.46875,0.36363636363636365,0.36,0.375,0.41818181818181815,0.6493506493506493,0.5657894736842105,0.326530612244898,0.6
湖南,0.5714285714285714,0.48888888888888893,,0.2173913043478261,0.5555555555555556,0.65625,0.6551724137931033,0.6821705426356589,0.2222222222222222,0.6666666666666667
廣東,0.7325581395348837,0.6415094339622641,0.4411764705882353,0.4756097560975609,0.5714285714285714,0.7500000000000001,0.7837837837837838,0.8148148148148148,0.8602150537634409,0.5555555555555556
廣西壯族自治區,0.5555555555555556,0.5277777777777778,0.26666666666666666,0.75,0.8461538461538461,0.7,1.0,0.5,0.5,0.3333333333333333
海南,0.8,0.625,,,,1.0,1.0,,1.0,
重慶,,1.0,,1.0,0.75,0.631578947368421,1.0,0.611111111111111,0.6206896551724138,
四川,1.0,0.23076923076923075,1.0,0.4285714285714286,0.7142857142857143,0.39999999999999997,0.8333333333333335,0.5897435897435896,0.4,0.6666666666666667
貴州,,0.3571428571428571,,0.3,0.7142857142857144,0.29166666666666663,0.6666666666666666,0.8181818181818182,0.7073170731707318,1.0
雲南,1.0,0.6666666666666666,0.09090909090909091,0.5714285714285714,0.888888888888889,1.0,0.07692307692307691,0.43749999999999994,0.75,0.5
西藏自治區,,0.0,,,,,,,1.0,
陝西,0.5833333333333334,0.9333333333333332,1.0,0.6,1.0,1.0,0.16666666666666669,0.7999999999999999,0.6363636363636364,
甘肅,0.8333333333333333,0.16666666666666666,1.0,0.6666666666666667,1.0,0.3333333333333333,,0.6666666666666666,0.39999999999999997,
青海,,,0.0,,,1.0,,,1.0,
寧夏回族自治區,,,,,,,,1.0,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.25,,,,,,
