,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.4444444444444444,
天津,,,,,,,,,0.05405405405405405,
河北,0.2619047619047619,0.09322033898305085,,,0.11111111111111112,0.17142857142857143,0.35714285714285715,0.4383561643835617,0.4520547945205479,
山西,0.23529411764705885,0.3125,,0.10344827586206896,,0.5,0.24528301886792456,0.07692307692307693,0.5483870967741936,
內蒙古自治區,,,,,,,,,0.7142857142857143,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.10606060606060606,0.29591836734693877,0.7999999999999999,0.2068965517241379,,0.47619047619047616,0.23333333333333336,0.19047619047619047,0.5333333333333333,
江蘇,0.08108108108108109,0.2838983050847458,0.04918032786885246,0.09734513274336283,0.11627906976744187,0.27777777777777773,0.5454545454545455,0.3220338983050848,0.43283582089552236,0.2
浙江,0.2058823529411765,0.34195402298850575,,0.2,0.2169811320754717,0.5161290322580646,0.5714285714285715,0.4523809523809524,0.30827067669172936,
安徽,0.22033898305084745,0.3333333333333333,,0.2456140350877193,0.33333333333333337,0.5625,0.5172413793103449,0.4090909090909091,0.24000000000000002,0.19999999999999998
福建,,0.14166666666666666,,0.1894736842105263,0.1923076923076923,0.4,,0.18181818181818182,0.1875,
江西,0.03225806451612903,0.06818181818181819,,0.030303030303030304,0.17021276595744683,0.12903225806451615,0.2033898305084746,0.2786885245901639,0.2727272727272727,
山東,0.14545454545454545,0.3577981651376147,,0.3448275862068965,0.75,0.3655913978494624,0.46788990825688076,0.6981132075471699,0.18934911242603553,0.76
河南,0.0617283950617284,0.32727272727272727,,0.10869565217391305,0.38461538461538464,0.18181818181818182,0.33333333333333337,0.3617021276595745,0.20224719101123595,0.42857142857142855
湖北,0.3333333333333333,0.46875,,0.08,,0.13636363636363635,0.1038961038961039,0.2894736842105263,0.30612244897959184,0.6
湖南,0.6190476190476191,0.11111111111111112,,0.1739130434782609,0.16666666666666666,0.15624999999999997,0.2068965517241379,0.4651162790697674,,0.6666666666666667
廣東,,0.18238993710691823,,0.08536585365853658,,0.40625,,0.3518518518518518,0.11827956989247312,
廣西壯族自治區,0.22222222222222227,0.05555555555555556,0.06666666666666667,0.1875,0.23076923076923078,,,0.625,0.27272727272727276,
海南,,,,,,,,,,
重慶,,,,,,,,,0.20689655172413793,
四川,,,,0.2571428571428572,,,0.1,0.20512820512820512,0.1076923076923077,
貴州,,,,,0.28571428571428575,,,,0.07317073170731708,
雲南,,0.3333333333333333,0.6363636363636365,0.35714285714285715,0.4444444444444445,,0.30769230769230765,0.1875,0.4,
西藏自治區,,0.0,,,,,,,,
陝西,1.0,,,,,,,0.6,0.2727272727272727,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
