,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.5,,,,,0.6363636363636364,,,
河北,0.5476190476190476,0.4152542372881356,,0.0303030303030303,0.33333333333333337,0.4,0.5,0.136986301369863,0.5068493150684932,
山西,0.4411764705882354,0.125,0.7,0.13793103448275865,,0.16666666666666666,0.33962264150943394,0.15384615384615385,0.5806451612903226,
內蒙古自治區,,,,,,,,,0.5714285714285714,
遼寧,,,,,0.75,,,,,
吉林,,,,,,0.3333333333333333,,,,
黑龍江,,,,,,,,,,
上海,0.3787878787878788,0.36224489795918363,,0.6551724137931034,,,0.23333333333333336,0.7619047619047619,0.8,0.8333333333333334
江蘇,0.5540540540540541,0.3686440677966102,0.7377049180327868,0.2920353982300885,0.372093023255814,0.37037037037037035,0.3181818181818182,0.42372881355932207,0.20149253731343283,0.3272727272727272
浙江,0.36764705882352944,0.5833333333333335,,0.34285714285714286,0.3584905660377359,0.2838709677419355,0.07142857142857144,0.11904761904761905,0.2932330827067669,0.7
安徽,0.4067796610169491,0.22875816993464052,0.8333333333333334,0.4736842105263158,0.33333333333333337,0.15625,0.3103448275862069,0.29545454545454547,0.16,0.39999999999999997
福建,0.1904761904761905,0.11666666666666665,0.5,0.13684210526315788,0.2692307692307692,0.2,,0.18181818181818182,0.09375,
江西,0.2903225806451613,0.25,0.42857142857142855,0.24242424242424243,0.1914893617021277,0.5483870967741936,0.2542372881355932,0.48360655737704916,0.18181818181818182,
山東,0.5454545454545455,0.22935779816513763,,0.367816091954023,,0.3225806451612903,0.24770642201834864,0.03773584905660377,0.242603550295858,0.34
河南,0.54320987654321,0.26666666666666666,,0.5217391304347826,,0.13636363636363635,0.16666666666666669,0.06382978723404256,0.1797752808988764,
湖北,0.5,0.03125,0.18181818181818182,0.04,0.375,0.32727272727272727,,0.32894736842105265,0.06122448979591837,
湖南,0.3333333333333333,0.3111111111111111,,0.04347826086956522,0.2222222222222222,0.0625,0.2068965517241379,0.21705426356589147,0.1111111111111111,0.33333333333333337
廣東,0.11627906976744186,0.08176100628930817,0.29411764705882354,0.2682926829268293,0.07142857142857142,0.03125,0.08108108108108109,0.5,0.0967741935483871,0.3333333333333333
廣西壯族自治區,0.33333333333333337,0.02777777777777778,0.13333333333333333,0.1875,0.38461538461538464,,,,0.18181818181818182,
海南,0.8,0.25,,,,,,,0.3846153846153846,
重慶,,,,0.4,,0.21052631578947367,0.19999999999999998,0.11111111111111112,0.13793103448275862,
四川,,,,0.17142857142857143,,0.09999999999999999,0.5666666666666668,0.28205128205128205,0.3538461538461538,0.16666666666666669
貴州,,0.07142857142857142,,,,0.29166666666666663,,0.09090909090909091,0.5121951219512196,
雲南,,0.1111111111111111,0.36363636363636365,,0.5555555555555556,,,0.125,0.125,
西藏自治區,,0.0,,,,,,,,
陝西,0.25,0.03333333333333333,,,,,,0.06666666666666667,0.2727272727272727,1.0
甘肅,0.16666666666666669,0.08333333333333333,,,0.16666666666666666,,,0.7777777777777777,,
青海,,,0.0,,,1.0,,1.0,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
