,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,,,,,,,,0.7777777777777778,
天津,,,,0.3333333333333333,0.5,,,,0.48648648648648646,
河北,0.4761904761904762,0.45762711864406785,,0.30303030303030304,0.11111111111111112,0.34285714285714286,0.6714285714285714,0.3561643835616438,0.3561643835616438,
山西,0.17647058823529413,0.125,0.8,0.06896551724137932,,0.6666666666666666,0.39622641509433965,,0.935483870967742,
內蒙古自治區,,,,,1.0,,,,1.0,
遼寧,,,,,1.0,,1.0,,,
吉林,,,,,,1.0,,,,
黑龍江,,,,,,,,,,
上海,0.3939393939393939,0.36734693877551017,,0.3793103448275862,0.6428571428571429,0.4047619047619047,0.13333333333333333,0.4285714285714286,0.8,
江蘇,0.2972972972972973,0.3135593220338983,0.7377049180327868,0.4690265486725664,0.3953488372093023,0.3271604938271605,0.5227272727272727,0.4745762711864407,0.38805970149253727,0.7636363636363637
浙江,0.36764705882352944,0.45114942528735635,,0.42857142857142855,0.2830188679245283,0.4064516129032258,0.35714285714285715,0.380952380952381,0.4511278195488722,0.7
安徽,0.2542372881355932,0.24183006535947713,0.8,0.2280701754385965,0.4,0.09375000000000001,0.2413793103448276,0.3636363636363636,0.16,
福建,0.380952380952381,0.3333333333333333,,0.4842105263157894,0.2692307692307692,0.1,0.16666666666666669,0.5454545454545454,0.125,
江西,0.4516129032258065,0.38636363636363635,,0.18181818181818182,0.14893617021276598,0.20967741935483872,0.11864406779661016,0.36885245901639346,0.36363636363636365,0.3333333333333333
山東,0.39999999999999997,0.14678899082568805,,0.4252873563218391,0.5714285714285715,0.45698924731182794,0.22935779816513766,0.5,0.5680473372781065,0.48000000000000004
河南,0.32098765432098764,0.4,,0.1739130434782609,,0.6363636363636364,,0.3617021276595745,0.5056179775280899,0.7142857142857143
湖北,0.41666666666666663,0.0625,0.5454545454545454,0.04,0.125,0.22727272727272727,0.2337662337662338,0.42105263157894735,0.3673469387755102,0.19999999999999998
湖南,0.09523809523809525,0.2888888888888889,,0.2173913043478261,0.1111111111111111,0.15624999999999997,0.37931034482758613,0.34883720930232553,0.5555555555555556,0.33333333333333337
廣東,0.17441860465116277,0.339622641509434,0.38235294117647056,0.3048780487804878,0.07142857142857142,0.46875000000000006,0.2702702702702703,0.6296296296296297,0.5806451612903226,0.3333333333333333
廣西壯族自治區,,0.19444444444444445,0.2,0.5625000000000001,,0.5,,0.125,0.18181818181818182,
海南,,0.75,,,,0.5714285714285714,1.0,,0.23076923076923075,
重慶,,0.3333333333333333,,0.4,,,0.3,0.38888888888888884,0.27586206896551724,
四川,,0.3846153846153846,,0.48571428571428577,,0.15,0.2,0.38461538461538464,0.4769230769230769,0.16666666666666669
貴州,,0.14285714285714285,,,0.28571428571428575,0.04166666666666666,0.6666666666666666,0.8181818181818182,0.29268292682926833,
雲南,0.4,0.3333333333333333,,0.21428571428571427,,,,0.375,0.275,1.0
西藏自治區,,0.0,,,,,,,,
陝西,0.08333333333333333,0.2333333333333333,,,1.0,1.0,0.16666666666666669,0.06666666666666667,0.09090909090909091,1.0
甘肅,,,,0.33333333333333337,,0.3333333333333333,,0.22222222222222218,,
青海,,,0.0,,,,,1.0,,
寧夏回族自治區,,,,,,,,1.0,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.5,,,,,1.0,
