,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.33333333333333337,0.4,,,0.25,1.0,,0.26666666666666666,0.3333333333333333,
天津,0.6666666666666667,0.25,,0.07142857142857144,,,1.0,1.0,,
河北,0.6506410256410255,0.5351043643263758,0.5225225225225225,0.48366013071895425,0.43478260869565216,0.625,0.6502242152466368,0.4943820224719101,0.421455938697318,0.5714285714285714
山西,0.5128205128205129,0.5120000000000001,0.22580645161290322,0.24401913875598086,0.42741935483870963,0.49246231155778897,0.4473684210526316,0.6492537313432836,0.6956521739130435,
內蒙古自治區,,,,,,,,,0.25,
遼寧,,1.0,,0.5454545454545455,,,0.3333333333333333,0.3333333333333333,0.2,0.35294117647058826
吉林,,,,,,,,,,
黑龍江,,,,0.16666666666666666,0.5,0.16666666666666669,,,,
上海,0.75,0.6727272727272727,0.6938775510204082,0.48214285714285715,0.7272727272727273,0.4833333333333334,0.5844155844155845,,0.5871559633027523,0.5909090909090909
江蘇,0.411764705882353,0.44876325088339225,0.37762237762237766,0.41935483870967744,0.4338235294117647,0.4478021978021978,0.46280991735537186,0.42968750000000006,0.26373626373626374,0.10344827586206896
浙江,0.4732824427480916,0.5440140845070423,0.516949152542373,0.47490347490347484,0.5656565656565656,0.5124223602484472,0.489795918367347,0.24705882352941172,0.4467353951890035,0.7837837837837838
安徽,0.3979591836734694,0.312,0.30000000000000004,0.2517321016166282,0.12962962962962962,0.15189873417721522,0.2916666666666667,0.359375,0.0816326530612245,
福建,0.10344827586206896,0.23030303030303031,0.05084745762711864,0.08,0.18181818181818182,0.30000000000000004,0.6190476190476191,0.06666666666666667,0.37037037037037035,0.5714285714285714
江西,0.32799999999999996,0.2558139534883721,0.22033898305084745,0.17177914110429449,0.2125984251968504,0.2756183745583039,0.5921052631578947,0.33582089552238803,0.1111111111111111,
山東,0.518796992481203,0.4570135746606334,0.5230769230769231,0.46704871060171926,0.37857142857142856,0.5953079178885631,0.580110497237569,0.4067796610169492,0.6410256410256411,0.75
河南,0.6053811659192826,0.6751054852320675,0.5,0.5861182519280206,0.5283018867924528,0.5310344827586208,0.5833333333333334,0.11538461538461539,0.6066176470588236,
湖北,0.11940298507462686,0.07894736842105263,0.2391304347826087,0.19166666666666668,0.1568627450980392,0.3142857142857143,0.29545454545454547,0.14516129032258066,0.08695652173913042,
湖南,0.2222222222222222,0.11428571428571428,0.11363636363636363,0.19576719576719578,0.11564625850340135,0.32653061224489793,0.12,0.18840579710144928,0.06944444444444445,0.6
廣東,0.30985915492957744,0.2017543859649123,0.15492957746478872,0.24090909090909093,0.2833333333333333,0.31884057971014496,0.2608695652173913,0.25688073394495414,0.3014705882352941,
廣西壯族自治區,,0.10465116279069767,,0.15254237288135594,0.16279069767441862,0.36065573770491804,0.26,0.25,0.31788079470198677,0.75
海南,0.2,0.3846153846153847,,0.411764705882353,0.14285714285714288,0.125,,,0.10714285714285715,
重慶,,,,0.25,,0.20454545454545456,0.1851851851851852,0.4222222222222222,0.2424242424242424,
四川,,0.6363636363636364,,0.0909090909090909,0.2558139534883721,0.16901408450704225,0.2727272727272727,0.2571428571428572,0.29353233830845765,0.33333333333333337
貴州,,,,,0.15384615384615385,0.049999999999999996,,0.09090909090909091,0.32673267326732675,
雲南,,0.17543859649122806,0.052631578947368425,0.1851851851851852,0.0975609756097561,0.08695652173913043,0.19047619047619047,0.4722222222222222,0.2727272727272727,
西藏自治區,,0.0,,,,0.2,0.0588235294117647,0.0625,,
陝西,0.4186046511627908,0.4378378378378379,0.13043478260869565,0.44910179640718556,0.34615384615384615,0.39090909090909093,0.23076923076923075,0.5254237288135594,0.6411290322580645,0.26666666666666666
甘肅,0.08333333333333334,0.15254237288135591,0.3125,0.3711340206185567,0.4705882352941177,0.09090909090909091,,0.2916666666666667,0.23255813953488375,0.5
青海,,,0.0,,,,,,,
寧夏回族自治區,1.0,,,0.4,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.42105263157894735,,0.3333333333333333,,,0.16666666666666666,
