,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2666666666666667,,0.5555555555555555,,0.7,0.8333333333333334,0.5333333333333333,0.6666666666666666,
天津,1.0,0.6874999999999999,0.6,0.5,,0.5,1.0,0.5454545454545454,,
河北,0.48717948717948717,0.6546489563567364,0.6036036036036037,0.5,0.5072463768115942,0.5922619047619048,0.6816143497757847,0.5561797752808989,0.521072796934866,
山西,0.19658119658119658,0.38133333333333336,0.22580645161290322,0.44019138755980863,0.3870967741935484,0.49246231155778897,0.02631578947368421,0.2537313432835821,0.6417391304347826,
內蒙古自治區,,1.0,1.0,1.0,,,,,0.1875,
遼寧,,0.2,0.7499999999999999,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.3333333333333333,,0.55,0.5882352941176471
吉林,,,,,0.625,0.42105263157894735,,,0.14285714285714285,0.5
黑龍江,,1.0,,1.0,0.5,0.6666666666666667,0.5,,,0.2
上海,0.15476190476190477,0.2696969696969697,0.7551020408163265,0.2142857142857143,0.7272727272727273,0.6333333333333334,0.11688311688311688,0.7272727272727273,0.42201834862385323,0.045454545454545456
江蘇,0.4873949579831934,0.6713780918727915,0.8321678321678322,0.7600806451612905,0.5661764705882353,0.7060439560439561,0.5206611570247934,0.3984375,0.478021978021978,0.37931034482758624
浙江,0.08396946564885496,0.47887323943661975,0.559322033898305,0.44787644787644787,0.5303030303030303,0.593167701863354,0.33673469387755106,0.30588235294117644,0.4742268041237114,0.40540540540540543
安徽,0.22448979591836737,0.45999999999999996,0.4125,0.4688221709006928,0.537037037037037,0.3670886075949368,0.02777777777777778,0.078125,0.1836734693877551,0.4285714285714286
福建,0.25862068965517243,0.3151515151515151,0.559322033898305,0.3,0.022727272727272728,0.25,0.14285714285714285,,0.17283950617283952,0.5714285714285714
江西,0.26399999999999996,0.3920265780730897,0.3898305084745763,0.42944785276073627,0.44094488188976383,0.5265017667844523,0.34210526315789475,0.32835820895522383,0.1388888888888889,
山東,0.2105263157894737,0.5248868778280543,0.8461538461538463,0.5329512893982808,0.26428571428571423,0.41642228739002934,0.4033149171270718,0.1694915254237288,0.3162393162393163,
河南,0.3183856502242153,0.42194092827004215,0.5319148936170213,0.5167095115681234,0.18867924528301888,0.3724137931034483,0.1875,0.11538461538461539,0.3455882352941177,
湖北,0.31343283582089554,0.33333333333333326,0.2826086956521739,0.325,0.21568627450980393,0.34285714285714286,0.45454545454545453,,0.13043478260869565,
湖南,0.10185185185185186,0.1257142857142857,0.25,0.33862433862433866,0.21088435374149658,0.2857142857142857,0.36,0.2028985507246377,0.125,0.3
廣東,0.21126760563380279,0.17543859649122806,0.5915492957746479,0.32727272727272727,0.016666666666666666,0.18115942028985507,0.1956521739130435,,0.22794117647058823,0.19999999999999998
廣西壯族自治區,0.09090909090909091,0.06976744186046512,0.3,0.15254237288135594,0.023255813953488372,0.29508196721311475,0.28,0.16666666666666666,0.2119205298013245,
海南,0.35,0.3846153846153847,,,0.14285714285714288,,0.4444444444444444,,,
重慶,,0.043478260869565216,0.6666666666666667,0.5357142857142857,0.31999999999999995,0.1590909090909091,,0.26666666666666666,0.5151515151515151,
四川,,0.2727272727272727,0.5714285714285714,0.4090909090909091,0.32558139534883723,0.40845070422535207,0.030303030303030304,0.2571428571428572,0.3233830845771144,0.33333333333333337
貴州,,,,0.23076923076923078,,0.049999999999999996,,,0.10891089108910892,
雲南,,0.043859649122807015,,0.1851851851851852,0.14634146341463417,0.043478260869565216,,0.19444444444444442,0.18181818181818182,
西藏自治區,,0.0,,,0.3333333333333333,0.43333333333333335,0.2352941176470588,0.125,0.25,
陝西,0.186046511627907,0.4702702702702703,0.21739130434782608,0.5988023952095808,0.5384615384615384,0.4636363636363637,,0.06779661016949153,0.6653225806451613,0.19999999999999998
甘肅,0.25,0.2542372881355932,0.0625,0.3402061855670103,0.05882352941176471,0.18181818181818182,,0.08333333333333333,0.0930232558139535,
青海,,,0.0,,,,,,0.625,
寧夏回族自治區,,,,0.6,0.3333333333333333,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.24137931034482762,,0.6842105263157895,0.5454545454545454,0.3333333333333333,,,0.05555555555555556,
