,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6666666666666666,,0.1111111111111111,0.5,0.4,0.16666666666666669,0.5333333333333333,0.16666666666666666,
天津,,0.25,,0.35714285714285715,,0.5,1.0,,,
河北,0.22756410256410256,0.5275142314990513,0.40540540540540543,0.42156862745098045,0.4734299516908213,0.44940476190476186,0.5515695067264574,0.550561797752809,0.3946360153256705,
山西,0.1623931623931624,0.48533333333333334,0.03225806451612903,0.3875598086124402,0.6693548387096774,0.5376884422110553,0.47368421052631576,0.4925373134328358,0.7530434782608696,
內蒙古自治區,,0.5,,,,,,,0.375,
遼寧,,,,0.36363636363636365,,,0.3333333333333333,,,
吉林,,,,,,,0.33333333333333337,,0.2857142857142857,
黑龍江,,,,0.16666666666666666,0.3333333333333333,0.4166666666666667,,,,
上海,0.5,0.5393939393939394,0.22448979591836735,0.14880952380952384,,0.075,0.5454545454545454,,0.11467889908256881,
江蘇,0.504201680672269,0.45759717314487636,0.41258741258741266,0.405241935483871,0.6397058823529412,0.19230769230769232,0.7851239669421488,0.5078125,0.45604395604395603,0.06896551724137931
浙江,0.6183206106870229,0.5123239436619718,0.5423728813559322,0.4517374517374517,0.5505050505050505,0.5559006211180124,0.5612244897959183,0.4588235294117647,0.33676975945017185,0.1891891891891892
安徽,0.489795918367347,0.476,0.275,0.3394919168591224,0.4074074074074074,0.31645569620253167,0.4305555555555556,0.3125,0.04081632653061225,
福建,0.13793103448275862,0.38181818181818183,0.37288135593220334,0.30666666666666664,0.29545454545454547,0.18333333333333335,0.14285714285714285,0.06666666666666667,0.17283950617283952,0.35714285714285715
江西,0.4799999999999999,0.521594684385382,0.01694915254237288,0.2791411042944786,0.4251968503937008,0.44876325088339214,0.19736842105263155,0.22388059701492533,0.08333333333333333,
山東,0.2556390977443609,0.3846153846153846,0.2692307692307693,0.5214899713467049,0.4642857142857143,0.4398826979472141,0.46408839779005523,0.23728813559322035,0.49786324786324787,0.29166666666666663
河南,0.336322869955157,0.5654008438818565,0.3829787234042553,0.3804627249357327,0.4716981132075471,0.4482758620689655,0.4791666666666667,0.07692307692307691,0.5036764705882353,
湖北,0.37313432835820903,0.6666666666666665,0.17391304347826086,0.39166666666666666,0.5882352941176471,0.14761904761904762,0.22727272727272727,0.25806451612903225,0.4130434782608695,
湖南,0.40740740740740744,0.2571428571428571,0.06818181818181818,0.3280423280423281,0.4693877551020408,0.31972789115646255,0.013333333333333332,0.10869565217391304,0.26388888888888884,0.1
廣東,0.33802816901408445,0.35526315789473684,0.08450704225352113,0.34090909090909094,0.11666666666666667,0.18840579710144928,0.2608695652173913,0.29357798165137616,0.3602941176470588,0.7
廣西壯族自治區,0.36363636363636365,0.20930232558139533,,0.3728813559322034,0.37209302325581395,0.32786885245901637,0.32,0.25,0.3642384105960265,0.5
海南,0.25,0.15384615384615385,0.25,0.29411764705882354,0.8571428571428572,0.125,0.1111111111111111,0.5,0.5357142857142857,
重慶,1.0,0.4782608695652174,0.33333333333333337,0.42857142857142855,0.6399999999999999,0.20454545454545456,0.4444444444444444,0.4222222222222222,0.2424242424242424,
四川,0.40909090909090906,,0.42857142857142855,0.23863636363636365,0.4883720930232559,0.19718309859154928,0.3333333333333333,0.5238095238095238,0.40298507462686567,0.33333333333333337
貴州,0.4285714285714286,,,0.38461538461538464,0.3076923076923077,0.049999999999999996,,0.09090909090909091,0.4356435643564357,
雲南,,0.22807017543859648,0.368421052631579,,0.024390243902439025,0.13043478260869565,,0.02777777777777778,0.2727272727272727,0.5
西藏自治區,,0.0,,,,,,,0.16666666666666666,
陝西,0.24418604651162792,0.6756756756756758,0.5652173913043478,0.3952095808383233,0.5192307692307693,0.49090909090909096,,0.03389830508474576,0.7258064516129031,
甘肅,,0.4915254237288136,0.0625,0.422680412371134,0.35294117647058826,,,0.08333333333333333,0.372093023255814,
青海,,,0.0,,,,,,0.375,
寧夏回族自治區,,0.33333333333333337,1.0,0.4,0.3333333333333333,,1.0,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.03448275862068966,,0.5263157894736843,0.1818181818181818,,,0.7999999999999999,0.2777777777777778,
