,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.13333333333333336,,,,1.0,,0.5333333333333333,0.16666666666666666,
天津,0.33333333333333337,0.25,,0.7857142857142858,,,,,,
河北,0.4358974358974359,0.4667931688804554,0.31531531531531537,0.34640522875817,0.42028985507246375,0.37797619047619047,0.48878923766816146,0.3202247191011236,0.5057471264367815,0.2857142857142857
山西,0.26495726495726496,0.4586666666666667,0.06451612903225806,0.3875598086124402,0.5967741935483871,0.5527638190954773,0.25,0.3208955223880597,0.6260869565217392,
內蒙古自治區,,0.5,,,,1.0,,,0.375,
遼寧,,0.4,,0.18181818181818182,,0.22222222222222224,,0.3333333333333333,0.5,0.47058823529411764
吉林,,,,,,,0.33333333333333337,,0.14285714285714285,0.5
黑龍江,,,,,,0.16666666666666669,,,,
上海,0.32142857142857145,0.44242424242424244,0.7142857142857143,0.2738095238095238,0.6363636363636364,0.5333333333333334,0.012987012987012986,,0.1926605504587156,
江蘇,0.4873949579831934,0.4964664310954064,0.5384615384615385,0.4294354838709677,0.4338235294117647,0.5082417582417582,0.27272727272727276,0.15625,0.07142857142857142,0.034482758620689655
浙江,0.4580152671755725,0.3873239436619718,0.3559322033898305,0.2702702702702703,0.2676767676767676,0.531055900621118,0.37755102040816324,0.15294117647058822,0.2611683848797251,0.08108108108108109
安徽,0.30612244897959184,0.364,0.22500000000000003,0.3464203233256351,0.25925925925925924,0.34810126582278483,0.3055555555555556,,0.14285714285714288,0.2142857142857143
福建,0.3275862068965517,0.24242424242424243,0.5423728813559322,0.19999999999999998,0.022727272727272728,0.46666666666666673,0.8095238095238096,0.2,0.2592592592592593,0.07142857142857142
江西,0.6799999999999999,0.3654485049833887,0.1694915254237288,0.3404907975460123,0.14960629921259844,0.3674911660777385,0.2236842105263158,0.2462686567164179,0.16666666666666666,
山東,0.24060150375939848,0.38687782805429866,0.576923076923077,0.515759312320917,0.5357142857142857,0.4340175953079179,0.3756906077348066,0.1864406779661017,0.3354700854700855,0.020833333333333332
河南,0.13452914798206278,0.4599156118143459,0.37234042553191493,0.42930591259640105,0.5283018867924528,0.4206896551724138,0.5,0.2692307692307692,0.5294117647058824,
湖北,0.4626865671641791,0.23684210526315785,0.1956521739130435,0.25,0.29411764705882354,0.380952380952381,0.36363636363636365,0.25806451612903225,0.19565217391304346,0.3333333333333333
湖南,0.5833333333333334,0.15428571428571428,0.5,0.30158730158730157,0.1768707482993197,0.3333333333333333,0.013333333333333332,0.2463768115942029,0.26388888888888884,0.3
廣東,0.5211267605633803,0.2280701754385965,0.5915492957746479,0.3090909090909091,0.13333333333333333,0.3478260869565218,0.10869565217391304,0.22018348623853215,0.3088235294117647,
廣西壯族自治區,0.5454545454545454,0.29069767441860467,,0.28813559322033894,0.27906976744186046,0.04918032786885246,0.22000000000000003,0.3333333333333333,0.3443708609271523,
海南,0.8,0.3076923076923077,,,0.4285714285714286,,0.4444444444444444,0.3333333333333333,0.10714285714285715,
重慶,,0.5217391304347826,,0.25,0.24,0.3409090909090909,0.4444444444444444,0.6000000000000001,0.33333333333333337,
四川,0.7272727272727272,0.1818181818181818,,0.2159090909090909,0.2558139534883721,0.4647887323943662,0.30303030303030304,0.4476190476190476,0.41293532338308453,0.16666666666666669
貴州,0.5714285714285715,0.11764705882352941,1.0,0.07692307692307693,,0.09999999999999999,,0.18181818181818182,0.24752475247524755,1.0
雲南,,0.09649122807017545,,,0.1951219512195122,0.043478260869565216,0.3333333333333333,0.2777777777777778,0.19318181818181818,
西藏自治區,,0.0,,,,,0.1764705882352941,,0.16666666666666666,
陝西,0.15116279069767444,0.6108108108108108,0.2608695652173913,0.3712574850299401,0.4230769230769231,0.4181818181818182,,0.288135593220339,0.657258064516129,
甘肅,,0.30508474576271183,0.125,0.20618556701030927,0.05882352941176471,,,0.37500000000000006,0.3023255813953488,
青海,,,0.0,,,,,,,
寧夏回族自治區,,0.33333333333333337,,,0.3333333333333333,,1.0,0.3333333333333333,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.03448275862068966,,0.05263157894736842,0.0909090909090909,,,0.7999999999999999,0.3333333333333333,
