,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.6666666666666667,0.4,,0.8888888888888888,0.25,0.8,0.8333333333333334,0.4666666666666667,0.6666666666666666,
天津,1.0,0.6874999999999999,0.6,0.28571428571428575,,0.75,,0.6363636363636364,,
河北,0.7051282051282051,0.4876660341555978,0.42342342342342343,0.5261437908496732,0.3719806763285024,0.5595238095238095,0.48430493273542596,0.5337078651685393,0.40996168582375475,0.7142857142857143
山西,0.36752136752136755,0.13333333333333336,0.1935483870967742,0.17224880382775118,0.0967741935483871,0.1155778894472362,0.11842105263157894,0.208955223880597,0.08869565217391305,
內蒙古自治區,,,,,,,,,0.0625,
遼寧,,0.4,,0.36363636363636365,0.6666666666666666,0.22222222222222224,0.16666666666666666,,0.8,0.8823529411764706
吉林,,,,,0.125,0.2631578947368421,,,0.14285714285714285,0.5
黑龍江,,,,0.16666666666666666,,0.4166666666666667,,,,0.6
上海,0.39285714285714285,0.4666666666666667,0.5510204081632653,0.3273809523809524,0.7272727272727273,0.55,0.1948051948051948,0.6818181818181818,0.27522935779816515,0.09090909090909091
江蘇,0.6470588235294118,0.6607773851590105,0.6993006993006994,0.6028225806451613,0.6470588235294118,0.8543956043956044,0.2809917355371901,0.39062500000000006,0.510989010989011,0.9655172413793104
浙江,0.5572519083969465,0.6179577464788732,0.4661016949152542,0.5212355212355212,0.5404040404040403,0.6521739130434782,0.44897959183673464,0.4705882352941176,0.7044673539518901,0.7567567567567568
安徽,0.5918367346938777,0.572,0.7250000000000001,0.6120092378752887,0.4722222222222222,0.7848101265822786,0.11111111111111112,0.5781250000000001,0.4897959183673469,0.8571428571428572
福建,0.689655172413793,0.5090909090909091,0.5932203389830508,0.6,0.5909090909090909,0.5666666666666668,0.2380952380952381,0.9333333333333335,0.7654320987654322,0.7142857142857143
江西,0.43199999999999994,0.4784053156146179,0.6271186440677966,0.5245398773006135,0.37795275590551186,0.7137809187279152,0.5263157894736842,0.7014925373134329,0.47222222222222227,
山東,0.6390977443609022,0.4276018099547511,0.6384615384615385,0.39828080229226365,0.34285714285714286,0.48680351906158364,0.4530386740331491,0.5084745762711864,0.3888888888888889,0.6041666666666666
河南,0.609865470852018,0.4367088607594936,0.5957446808510638,0.44730077120822626,0.2641509433962264,0.2827586206896552,0.14583333333333334,0.34615384615384615,0.30514705882352944,
湖北,0.37313432835820903,0.3245614035087719,0.5652173913043478,0.4583333333333334,0.29411764705882354,0.6761904761904761,0.45454545454545453,0.4516129032258065,0.47826086956521735,
湖南,0.37962962962962965,0.47428571428571425,0.5454545454545454,0.380952380952381,0.5374149659863946,0.6258503401360543,0.5466666666666666,0.572463768115942,0.38888888888888884,0.4
廣東,0.4366197183098591,0.5394736842105263,0.647887323943662,0.6181818181818182,0.6,0.6884057971014493,0.5217391304347826,0.5321100917431193,0.6470588235294118,0.3
廣西壯族自治區,,0.46511627906976744,0.6,0.28813559322033894,0.27906976744186046,0.40983606557377045,0.1,0.3333333333333333,0.5827814569536424,0.5
海南,0.3,0.07692307692307693,,0.823529411764706,0.14285714285714288,0.375,,0.16666666666666666,0.46428571428571436,
重慶,,0.043478260869565216,0.33333333333333337,0.17857142857142855,0.07999999999999999,0.36363636363636365,0.2962962962962963,0.5333333333333333,0.4545454545454546,
四川,,0.1818181818181818,0.5714285714285714,0.5340909090909091,0.23255813953488375,0.29577464788732394,0.48484848484848486,0.4476190476190476,0.36318407960199,0.6666666666666667
貴州,0.28571428571428575,0.2941176470588235,,0.23076923076923078,0.23076923076923078,0.25,,0.8181818181818182,0.33663366336633666,1.0
雲南,0.2,0.33333333333333337,1.0,0.5555555555555556,0.3902439024390244,0.43478260869565216,0.8095238095238095,0.25,0.4318181818181818,0.75
西藏自治區,,0.0,,,0.3333333333333333,0.4,0.2352941176470588,0.3125,0.5,
陝西,0.33720930232558144,0.043243243243243246,,0.16167664670658682,0.2884615384615385,0.24545454545454548,0.4615384615384615,0.3220338983050848,0.2701612903225806,0.26666666666666666
甘肅,0.25,0.03389830508474576,0.0625,0.18556701030927836,0.05882352941176471,0.36363636363636365,,,0.20930232558139536,1.0
青海,,,0.0,,,0.6666666666666666,,,0.625,
寧夏回族自治區,,,,,0.6666666666666666,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.4482758620689656,,0.26315789473684215,0.6363636363636364,1.0,0.4,1.0,0.3333333333333333,
