,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.016339869281045753,,0.005952380952380952,,,,
山西,,0.018666666666666668,0.22580645161290322,,,,,,0.022608695652173914,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.006993006993006993,,,,,,,
浙江,0.07633587786259541,0.019366197183098594,,,,0.021739130434782608,,,0.041237113402061855,0.10810810810810811
安徽,,,,,0.037037037037037035,0.018987341772151903,,,,
福建,,,,,,,,,,
江西,,,,,,0.024734982332155476,,,,
山東,,0.020361990950226245,,,0.049999999999999996,,,,,
河南,,0.0991561181434599,,,0.3018867924528302,0.04137931034482759,,,,
湖北,0.04477611940298508,,,,,,,,,
湖南,,,,0.021164021164021166,0.02040816326530612,0.07482993197278912,,,,
廣東,,,,,,0.08695652173913045,,0.01834862385321101,0.125,
廣西壯族自治區,,,,,,,,,0.0728476821192053,
海南,,,,,,,,,,
重慶,,,,,,,,,0.09090909090909091,
四川,,,,,,,0.18181818181818182,0.009523809523809523,0.06965174129353234,
貴州,,,,,,,,,0.019801980198019802,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.02702702702702703,,0.017964071856287425,,,,,0.008064516129032258,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
