,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.33333333333333337,0.2,,,,,1.0,,0.16666666666666666,
天津,,,,0.28571428571428575,0.6666666666666666,0.25,1.0,,,
河北,0.30128205128205127,0.20683111954459205,0.08108108108108109,0.14052287581699346,0.22222222222222224,0.29464285714285715,0.6233183856502242,0.2808988764044944,0.20306513409961685,0.2857142857142857
山西,0.39316239316239315,0.14133333333333334,,,0.016129032258064516,0.2562814070351759,0.3157894736842105,0.1791044776119403,0.13217391304347828,
內蒙古自治區,,,,,,1.0,,,,
遼寧,,,,,,,0.3333333333333333,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.13333333333333333,0.36734693877551017,0.017857142857142856,,0.058333333333333334,0.5584415584415585,,0.20642201834862384,
江蘇,0.16806722689075632,0.28621908127208484,0.41258741258741266,0.25201612903225806,0.16911764705882354,0.03571428571428571,0.6611570247933884,0.078125,0.22527472527472525,
浙江,,0.14612676056338028,0.17796610169491525,0.1467181467181467,,0.040372670807453416,0.30612244897959184,,0.041237113402061855,
安徽,0.030612244897959186,0.20799999999999996,,0.12933025404157042,0.037037037037037035,0.20253164556962025,0.5277777777777778,0.15625,0.1836734693877551,
福建,,0.024242424242424242,0.01694915254237288,,0.09090909090909091,0.2833333333333334,,,,0.5
江西,0.024,0.079734219269103,0.01694915254237288,0.012269938650306749,,0.1872791519434629,0.23684210526315788,,,1.0
山東,0.14285714285714285,0.4072398190045249,0.14615384615384616,0.13180515759312322,0.26428571428571423,0.3020527859237537,0.5082872928176796,0.42372881355932207,0.3141025641025641,0.10416666666666666
河南,0.07174887892376683,0.30168776371308015,0.2127659574468085,0.24421593830334193,0.09433962264150944,0.33793103448275863,0.8333333333333334,0.42307692307692313,0.19852941176470587,
湖北,0.029850746268656716,0.043859649122807015,0.021739130434782608,0.1,,0.1380952380952381,0.5227272727272727,0.14516129032258066,,
湖南,,0.05714285714285714,,0.015873015873015872,,0.07482993197278912,0.27999999999999997,0.036231884057971016,0.05555555555555555,
廣東,0.08450704225352111,0.05701754385964913,0.08450704225352113,0.03636363636363637,0.016666666666666666,0.07246376811594203,0.2391304347826087,0.10091743119266056,0.125,
廣西壯族自治區,,0.08139534883720931,,,0.20930232558139536,0.5081967213114753,0.8,,0.0728476821192053,
海南,,,,0.5294117647058824,,,,0.3333333333333333,,
重慶,,,,,,0.06818181818181818,,0.4444444444444444,,
四川,,,,0.011363636363636362,,,0.030303030303030304,0.20952380952380953,0.03980099502487562,
貴州,,,,,,0.049999999999999996,,,0.06930693069306931,
雲南,0.4,,,,,,,,0.07954545454545454,
西藏自治區,,0.0,,,,0.2,0.4117647058823529,,0.08333333333333333,
陝西,0.2093023255813954,0.17297297297297298,,0.005988023952095808,,0.06363636363636364,0.3846153846153846,0.23728813559322035,0.13709677419354838,
甘肅,0.25,,,,,,,0.08333333333333333,0.023255813953488375,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.05555555555555556,
