,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,0.05448717948717949,0.10626185958254271,0.06306306306306307,0.03594771241830066,0.10144927536231883,0.0744047619047619,0.07174887892376682,0.08988764044943821,0.2528735632183908,
山西,0.10256410256410257,0.09066666666666667,0.03225806451612903,0.009569377990430622,,0.05527638190954774,0.13157894736842105,0.4552238805970149,0.3130434782608696,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.1,0.4117647058823529
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.4
上海,,0.2393939393939394,0.32653061224489793,0.2261904761904762,,0.23333333333333334,,,0.31651376146788995,
江蘇,0.19327731092436978,0.11307420494699646,0.03496503496503497,0.17943548387096775,0.14705882352941177,0.09890109890109891,0.2066115702479339,0.11718750000000001,0.0934065934065934,
浙江,0.0916030534351145,0.08978873239436619,0.02542372881355932,0.06563706563706563,0.1717171717171717,0.11490683229813664,0.04081632653061225,0.22352941176470587,0.08934707903780069,0.1891891891891892
安徽,,0.216,0.037500000000000006,0.14318706697459585,0.06481481481481481,0.12025316455696204,0.3888888888888889,0.09375,0.0816326530612245,
福建,0.06896551724137931,0.012121212121212121,0.0847457627118644,0.04666666666666667,,0.03333333333333333,,,0.02469135802469136,
江西,0.15999999999999998,0.01993355481727575,,0.052147239263803685,0.04724409448818898,0.20141342756183742,0.013157894736842105,0.12686567164179102,0.05555555555555555,
山東,0.03759398496240602,0.06334841628959276,0.05384615384615385,0.166189111747851,0.06428571428571428,0.15249266862170088,0.14917127071823205,0.1016949152542373,0.3141025641025641,0.22916666666666669
河南,0.04932735426008969,0.24050632911392403,0.22340425531914893,0.13110539845758357,0.169811320754717,0.027586206896551727,0.04166666666666667,0.03846153846153846,0.1911764705882353,
湖北,0.10447761194029852,0.03508771929824561,0.2826086956521739,0.01666666666666667,,0.14285714285714285,0.022727272727272728,0.03225806451612903,0.3260869565217391,
湖南,0.24074074074074076,,0.11363636363636363,0.08994708994708996,0.02040816326530612,0.13605442176870747,0.07999999999999999,0.036231884057971016,0.06944444444444445,0.2
廣東,0.05633802816901408,0.026315789473684213,0.4647887323943662,0.022727272727272728,0.11666666666666667,0.028985507246376812,0.06521739130434782,0.03669724770642202,0.03676470588235294,
廣西壯族自治區,0.09090909090909091,0.046511627906976744,,0.06779661016949153,,0.16393442622950818,,0.16666666666666666,0.12582781456953643,
海南,0.2,0.3846153846153847,,,,0.125,0.3333333333333333,0.16666666666666666,0.14285714285714288,
重慶,,,,,,0.09090909090909091,,,,
四川,0.1818181818181818,,0.5714285714285714,,0.06976744186046512,0.028169014084507043,,0.07619047619047618,0.08457711442786069,
貴州,0.28571428571428575,0.058823529411764705,,,,,0.3333333333333333,,0.019801980198019802,
雲南,,0.07017543859649122,,0.07407407407407407,0.24390243902439027,0.08695652173913043,0.047619047619047616,0.1388888888888889,0.045454545454545456,
西藏自治區,,0.0,,,,,0.0588235294117647,,,
陝西,0.034883720930232565,0.2918918918918919,,0.02395209580838323,,0.03636363636363637,,0.01694915254237288,0.14516129032258063,
甘肅,,,,0.08247422680412372,,,,0.08333333333333333,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.1818181818181818,,0.2,0.6,0.05555555555555556,
