,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.4,,0.4444444444444444,0.25,,0.5,0.4,0.3333333333333333,
天津,0.16666666666666669,0.375,0.1,0.35714285714285715,,,1.0,0.8181818181818182,1.0,
河北,0.5352564102564102,0.5673624288425048,0.6126126126126127,0.4575163398692811,0.36231884057971014,0.5059523809523809,0.45739910313901344,0.8146067415730337,0.5632183908045977,0.5714285714285714
山西,0.5555555555555555,0.5760000000000001,0.5483870967741935,0.4449760765550239,0.4354838709677419,0.37688442211055273,0.5394736842105263,0.5970149253731343,0.6921739130434783,
內蒙古自治區,,,,,,,,,0.1875,
遼寧,,,,0.36363636363636365,0.3333333333333333,,,0.3333333333333333,0.35000000000000003,0.6470588235294118
吉林,,,,,0.5,,,,0.14285714285714285,1.0
黑龍江,,,,,0.5,,,,,0.2
上海,0.7023809523809523,0.7787878787878788,0.3469387755102041,0.6726190476190477,0.45454545454545453,0.6416666666666667,0.8311688311688311,0.6363636363636364,0.8440366972477065,0.7727272727272727
江蘇,0.6554621848739497,0.549469964664311,0.48951048951048953,0.6129032258064516,0.4338235294117647,0.760989010989011,0.7190082644628099,0.53125,0.48351648351648346,0.896551724137931
浙江,0.5190839694656488,0.6549295774647889,0.5508474576271186,0.4942084942084942,0.5505050505050505,0.6118012422360248,0.6734693877551021,0.34117647058823525,0.6529209621993127,0.945945945945946
安徽,0.4387755102040816,0.484,0.625,0.3325635103926097,0.3333333333333333,0.2848101265822785,0.6527777777777778,0.53125,0.326530612244898,0.35714285714285715
福建,0.31034482758620685,0.3878787878787879,0.3389830508474576,0.4333333333333333,0.45454545454545453,0.25,0.8095238095238096,0.26666666666666666,0.34567901234567905,0.9285714285714285
江西,0.568,0.4152823920265781,0.13559322033898305,0.3159509202453988,0.5354330708661418,0.44876325088339214,0.5,0.7014925373134329,0.3055555555555556,
山東,0.3609022556390977,0.5452488687782805,0.6615384615384616,0.41833810888252154,0.657142857142857,0.6510263929618769,0.5359116022099448,0.4067796610169492,0.7094017094017094,0.8125
河南,0.6143497757847534,0.5717299578059071,0.48936170212765956,0.5167095115681234,0.24528301886792453,0.2689655172413793,0.4166666666666667,0.6153846153846153,0.5404411764705883,
湖北,0.582089552238806,0.22807017543859645,0.30434782608695654,0.30833333333333335,0.2549019607843137,0.3142857142857143,0.4318181818181818,0.41935483870967744,0.4130434782608695,0.6666666666666666
湖南,0.2962962962962963,0.23428571428571426,0.09090909090909091,0.3174603174603175,0.4625850340136054,0.5306122448979591,0.6266666666666666,0.5289855072463767,0.2777777777777778,0.1
廣東,0.4366197183098591,0.4736842105263158,0.35211267605633806,0.4545454545454546,0.6,0.3478260869565218,0.5652173913043479,0.5688073394495413,0.3602941176470588,0.19999999999999998
廣西壯族自治區,0.5454545454545454,0.36046511627906974,0.2,0.3389830508474576,0.6279069767441862,0.2459016393442623,0.18,0.16666666666666666,0.47019867549668876,0.25
海南,0.35,0.3846153846153847,0.75,,0.7142857142857144,0.5,0.6666666666666666,,0.35714285714285715,
重慶,,0.7391304347826086,0.33333333333333337,0.10714285714285714,0.27999999999999997,0.4772727272727273,0.4444444444444444,0.5777777777777778,0.15151515151515152,
四川,,0.0909090909090909,0.42857142857142855,0.3863636363636364,0.23255813953488375,0.39436619718309857,0.6060606060606061,0.5142857142857143,0.5223880597014925,0.16666666666666669
貴州,0.28571428571428575,0.17647058823529413,,0.5384615384615385,0.07692307692307693,0.45,,0.45454545454545453,0.504950495049505,
雲南,0.2,0.2982456140350877,,0.1851851851851852,0.3902439024390244,0.21739130434782608,0.14285714285714288,0.5277777777777777,0.38636363636363635,0.5
西藏自治區,,0.0,,,,,,0.0625,0.25,
陝西,0.5930232558139535,0.3945945945945946,0.30434782608695654,0.3592814371257485,0.17307692307692307,0.5727272727272728,0.3846153846153846,0.5084745762711864,0.48387096774193544,
甘肅,0.33333333333333337,0.1016949152542373,0.625,0.288659793814433,0.5882352941176471,0.36363636363636365,,0.5833333333333334,0.16279069767441862,
青海,,,0.0,,,0.6666666666666666,,,0.625,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.6551724137931035,,0.5789473684210527,0.2727272727272727,0.7777777777777778,0.2,,0.6666666666666666,
