,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,0.5,,,,,
天津,0.16666666666666669,,,,,,,,,
河北,0.23076923076923078,0.0683111954459203,,0.09803921568627452,0.07246376811594203,0.11309523809523808,0.16143497757847533,0.10674157303370786,0.07279693486590037,0.14285714285714285
山西,0.11965811965811965,0.2026666666666667,0.03225806451612903,0.07655502392344497,0.1774193548387097,0.010050251256281407,0.06578947368421052,0.05970149253731344,0.27304347826086955,
內蒙古自治區,,,,,,,,,0.25,
遼寧,,,,,,,,,0.45000000000000007,0.47058823529411764
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.4
上海,0.023809523809523808,0.29393939393939394,0.16326530612244897,0.17261904761904764,,0.06666666666666668,0.5974025974025974,0.18181818181818182,0.47706422018348627,
江蘇,0.17647058823529416,0.17314487632508835,0.027972027972027972,0.09879032258064516,0.13970588235294118,0.12362637362637363,0.30578512396694213,0.09375000000000001,0.2582417582417582,0.1724137931034483
浙江,0.1450381679389313,0.2517605633802817,0.00847457627118644,0.08108108108108109,0.29292929292929293,0.21739130434782608,0.20408163265306123,0.09411764705882351,0.1718213058419244,
安徽,0.12244897959183675,0.064,0.025,0.07621247113163973,0.05555555555555555,0.13924050632911392,0.05555555555555556,0.265625,0.14285714285714288,
福建,0.10344827586206896,0.06666666666666667,0.06779661016949153,0.03333333333333333,0.09090909090909091,0.11666666666666668,,,0.04938271604938272,
江西,0.015999999999999997,0.0830564784053156,0.13559322033898305,0.1226993865030675,0.1968503937007874,0.12367491166077739,0.06578947368421052,0.2761194029850746,0.19444444444444445,
山東,0.015037593984962405,0.15610859728506787,0.1,0.08882521489971347,0.22857142857142856,0.17302052785923755,0.14917127071823205,0.11864406779661017,0.17094017094017094,0.5416666666666666
河南,0.04035874439461883,0.17088607594936708,0.03191489361702128,0.12082262210796917,,0.08965517241379312,0.14583333333333334,0.11538461538461539,0.11397058823529413,
湖北,0.14925373134328357,0.03508771929824561,,0.01666666666666667,0.1764705882352941,0.19523809523809527,0.09090909090909091,0.3064516129032258,0.19565217391304346,
湖南,0.12962962962962962,0.02857142857142857,,0.07936507936507937,0.027210884353741496,0.2312925170068027,0.026666666666666665,0.2028985507246377,0.125,
廣東,,0.017543859649122806,,0.02727272727272727,,0.10869565217391305,0.043478260869565216,0.25688073394495414,0.16911764705882354,
廣西壯族自治區,,0.09302325581395349,,0.05084745762711864,,0.08196721311475409,,,0.039735099337748346,0.25
海南,,,,,0.14285714285714288,,,,,
重慶,,,,,,,0.037037037037037035,0.31111111111111106,,
四川,,,,0.022727272727272724,0.06976744186046512,,0.09090909090909091,0.29523809523809524,0.24875621890547261,
貴州,,0.058823529411764705,,,0.15384615384615385,0.09999999999999999,,,,
雲南,,0.03508771929824561,0.2105263157894737,,0.0975609756097561,,,,0.07954545454545454,
西藏自治區,,0.0,,,,,,,,
陝西,0.16279069767441862,0.043243243243243246,,,0.057692307692307696,0.05454545454545455,,0.1864406779661017,0.10080645161290322,
甘肅,,,,0.08247422680412372,0.23529411764705885,,,,0.06976744186046512,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.41379310344827586,,,0.2727272727272727,,,,0.05555555555555556,
