,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.0625,,,,,1.0,,,
河北,0.14743589743589744,0.09297912713472486,,0.0032679738562091504,0.043478260869565216,0.08333333333333333,0.1569506726457399,0.056179775280898875,0.1417624521072797,
山西,0.12820512820512822,0.005333333333333333,0.22580645161290322,0.019138755980861243,,0.010050251256281407,0.23684210526315788,0.01492537313432836,0.03130434782608695,
內蒙古自治區,,,,,,,,,0.25,
遼寧,,,,,0.3333333333333333,,,,,
吉林,,,,,,0.05263157894736842,,,,
黑龍江,,,,,,,,,,
上海,0.2976190476190476,0.21515151515151515,,0.1130952380952381,,,0.09090909090909091,0.7272727272727273,0.44036697247706424,0.22727272727272727
江蘇,0.3445378151260505,0.15371024734982333,0.3146853146853147,0.06653225806451614,0.11764705882352942,0.16483516483516486,0.11570247933884296,0.19531250000000003,0.14835164835164835,0.6206896551724138
浙江,0.19083969465648856,0.3573943661971831,,0.09266409266409266,0.1919191919191919,0.13664596273291926,0.010204081632653062,0.0588235294117647,0.13402061855670103,0.1891891891891892
安徽,0.2448979591836735,0.13999999999999999,0.3125,0.062355658198614314,0.046296296296296294,0.03164556962025317,0.125,0.203125,0.163265306122449,0.2857142857142857
福建,0.06896551724137931,0.08484848484848484,0.06779661016949153,0.08666666666666666,0.15909090909090912,0.03333333333333333,,0.13333333333333333,0.03703703703703704,
江西,0.072,0.07308970099667773,0.05084745762711864,0.024539877300613498,0.07086614173228348,0.12014134275618374,0.19736842105263155,0.4402985074626865,0.05555555555555555,
山東,0.2255639097744361,0.05656108597285068,,0.09169054441260745,,0.17595307917888564,0.14917127071823205,0.06779661016949153,0.08760683760683761,0.3541666666666667
河南,0.19730941704035876,0.09282700421940927,,0.061696658097686374,,0.020689655172413796,0.04166666666666667,0.11538461538461539,0.058823529411764705,
湖北,0.08955223880597016,0.008771929824561403,0.043478260869565216,0.008333333333333335,0.058823529411764705,0.17142857142857143,,0.40322580645161293,0.06521739130434782,
湖南,0.06481481481481481,0.08,,0.005291005291005292,0.027210884353741496,0.013605442176870748,0.07999999999999999,0.2028985507246377,0.013888888888888888,0.2
廣東,0.14084507042253522,0.05701754385964913,0.14084507042253522,0.1,0.05,0.014492753623188406,0.06521739130434782,0.24770642201834867,0.0661764705882353,0.3
廣西壯族自治區,0.2727272727272727,0.011627906976744186,0.2,0.05084745762711864,0.11627906976744186,,,,0.026490066225165563,
海南,0.2,0.15384615384615385,,,,,,,0.17857142857142858,
重慶,,,,0.07142857142857142,,0.09090909090909091,0.07407407407407407,0.044444444444444446,0.1212121212121212,
四川,,,,0.06818181818181818,,0.028169014084507043,0.5151515151515151,0.10476190476190476,0.1144278606965174,0.16666666666666669
貴州,,0.058823529411764705,,,,0.35,,0.09090909090909091,0.20792079207920797,
雲南,,0.017543859649122806,0.2105263157894737,,0.12195121951219513,,,0.05555555555555556,0.056818181818181816,
西藏自治區,,0.0,,,,,,,,
陝西,0.034883720930232565,0.005405405405405406,,,,,,0.01694915254237288,0.012096774193548385,0.13333333333333333
甘肅,0.08333333333333334,0.01694915254237288,,,0.05882352941176471,,,0.2916666666666667,,
青海,,,0.0,,,0.6666666666666666,,1.0,0.625,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
