,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.13333333333333336,,,,,,,,
天津,,0.25,,,,,,,,
河北,0.2403846153846154,0.25237191650853896,0.07207207207207207,0.11764705882352941,0.13526570048309178,0.24702380952380948,0.3721973094170403,0.21910112359550563,0.2567049808429119,0.5714285714285714
山西,0.12820512820512822,0.12800000000000003,0.22580645161290322,0.06698564593301436,0.08064516129032258,0.1407035175879397,0.3026315789473684,0.26865671641791045,0.3408695652173913,
內蒙古自治區,,,,,,,,,0.25,
遼寧,,,,0.18181818181818182,0.3333333333333333,,0.3333333333333333,,0.05,
吉林,,,,,,0.05263157894736842,,,,
黑龍江,,,,,,,,,0.2,
上海,0.39285714285714285,0.5242424242424243,0.6530612244897959,0.3869047619047619,,0.5666666666666667,0.12987012987012986,0.5,0.7018348623853211,0.6818181818181818
江蘇,0.1596638655462185,0.25265017667844525,0.5524475524475525,0.36693548387096775,0.3014705882352941,0.4560439560439561,0.34710743801652894,0.39062500000000006,0.3131868131868132,0.8275862068965517
浙江,0.35877862595419846,0.38204225352112675,0.5254237288135593,0.3088803088803089,0.3282828282828283,0.3074534161490683,0.5204081632653061,0.16470588235294117,0.35738831615120276,0.8108108108108109
安徽,0.12244897959183675,0.084,0.38750000000000007,0.07852193995381063,0.07407407407407407,0.05063291139240506,0.01388888888888889,0.375,0.1836734693877551,0.2142857142857143
福建,,0.2,0.22033898305084745,0.19999999999999998,0.34090909090909094,0.13333333333333333,0.380952380952381,0.26666666666666666,0.1358024691358025,0.35714285714285715
江西,0.07999999999999999,0.10963455149501661,,0.04294478527607362,0.09448818897637797,0.14134275618374556,0.039473684210526314,0.18656716417910446,0.2222222222222222,0.5
山東,0.2631578947368421,0.22171945701357465,0.3384615384615385,0.17478510028653296,0.19285714285714284,0.2932551319648094,0.32044198895027626,0.06779661016949153,0.2948717948717949,0.5625
河南,0.17040358744394618,0.18143459915611815,0.09574468085106383,0.09511568123393317,0.3584905660377358,0.14482758620689654,,0.07692307692307691,0.4522058823529412,
湖北,0.10447761194029852,0.06140350877192983,0.15217391304347827,0.1,,0.18095238095238098,0.022727272727272728,0.24193548387096772,0.3260869565217391,
湖南,0.07407407407407407,0.04,,0.02645502645502646,0.1768707482993197,0.061224489795918366,0.36,0.2536231884057971,0.16666666666666666,0.4
廣東,0.01408450704225352,0.11403508771929825,0.056338028169014086,0.12272727272727274,0.4666666666666667,0.2028985507246377,0.2391304347826087,0.44954128440366975,0.16176470588235295,0.5
廣西壯族自治區,,0.12790697674418602,,0.1694915254237288,0.023255813953488372,0.06557377049180328,0.12000000000000001,,0.15894039735099338,
海南,,0.15384615384615385,,,0.14285714285714288,0.125,,,0.10714285714285715,
重慶,,,,0.21428571428571427,,0.1590909090909091,,0.2888888888888889,,
四川,,0.0909090909090909,,0.14772727272727273,0.023255813953488372,0.028169014084507043,0.18181818181818182,0.20952380952380953,0.1990049751243781,0.33333333333333337
貴州,,,,,,,,0.45454545454545453,0.1485148514851485,
雲南,,0.06140350877192983,,,,0.043478260869565216,0.047619047619047616,0.08333333333333333,0.125,
西藏自治區,,0.0,,,,,,,,
陝西,0.1046511627906977,0.12432432432432435,0.08695652173913043,0.15568862275449102,,0.04545454545454546,0.3846153846153846,0.2542372881355932,0.2661290322580645,0.26666666666666666
甘肅,0.08333333333333334,,,,0.11764705882352942,,,0.125,0.16279069767441862,
青海,,,0.0,,,,,1.0,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.3103448275862069,,0.4736842105263158,,0.8888888888888888,0.4,,0.16666666666666666,
