,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6249999999999999,,,0.6,1.0,,,0.10526315789473684,
天津,,0.14285714285714285,,0.5,,,,,0.06976744186046512,
河北,0.5714285714285714,0.5326633165829147,0.5277777777777778,0.6149068322981367,0.4909090909090909,0.6254826254826255,0.4105263157894737,0.3191489361702127,0.4406779661016949,0.7857142857142857
山西,0.5692307692307693,0.5630252100840336,0.5652173913043478,0.2727272727272727,0.4324324324324324,0.32432432432432434,0.3469387755102041,0.7656249999999999,0.6455223880597015,
內蒙古自治區,,,,,,,,,0.875,
遼寧,,,,0.6666666666666666,,0.33333333333333337,0.8,,0.09090909090909091,
吉林,,,,,,,,,,1.0
黑龍江,,,,,,,,,,
上海,0.7142857142857143,0.8081180811808117,0.8873239436619719,0.49074074074074076,0.14285714285714285,0.5390624999999999,0.3958333333333333,,0.5333333333333333,0.875
江蘇,0.20202020202020204,0.45733788395904434,0.4923076923076923,0.46944444444444444,0.17757009345794394,0.43703703703703706,0.42528735632183906,0.3958333333333333,0.2790697674418605,0.3939393939393939
浙江,0.6161616161616161,0.637883008356546,0.56,0.5074626865671642,0.6397058823529411,0.646551724137931,0.5230769230769231,0.1875,0.47244094488188976,0.8867924528301886
安徽,0.5681818181818181,0.2072072072072072,0.28125,0.3424657534246575,0.05555555555555555,0.34285714285714286,0.23809523809523808,0.3717948717948718,0.08571428571428572,0.2857142857142857
福建,0.16666666666666663,0.33870967741935487,,0.17105263157894735,0.4146341463414634,0.26086956521739135,0.3157894736842105,,0.38181818181818183,0.22222222222222224
江西,0.2765957446808511,0.08421052631578947,,0.05172413793103448,0.12820512820512822,0.2647058823529412,0.36,0.4117647058823529,,0.75
山東,0.4457831325301205,0.5062893081761006,0.4949494949494949,0.5254901960784313,0.3684210526315789,0.5833333333333334,0.6049382716049383,0.4941176470588236,0.635593220338983,0.9166666666666666
河南,0.6288659793814433,0.7307692307692307,0.125,0.5617283950617283,0.5352112676056338,0.40697674418604657,,0.5555555555555556,0.6557377049180328,0.7619047619047618
湖北,0.22641509433962265,0.08450704225352113,0.3333333333333333,0.3090909090909091,0.07142857142857144,0.2826086956521739,0.2363636363636364,0.24050632911392403,0.0967741935483871,
湖南,0.15789473684210525,0.0909090909090909,0.6363636363636364,0.3125,0.1176470588235294,0.08771929824561403,0.08571428571428572,0.18400000000000002,0.10256410256410257,0.7
廣東,0.5384615384615384,0.15957446808510636,0.3333333333333333,0.1775147928994083,0.14705882352941177,0.580952380952381,0.422680412371134,0.3360655737704918,0.2193548387096774,
廣西壯族自治區,,0.3478260869565218,,0.0697674418604651,,0.4047619047619047,0.034482758620689655,0.1875,0.35,0.3
海南,1.0,0.3448275862068966,,0.2,0.2727272727272727,0.3076923076923077,0.43750000000000006,0.2,,
重慶,,0.5,,0.23076923076923075,0.3333333333333333,0.47619047619047616,,0.5517241379310346,0.26666666666666666,
四川,,0.14285714285714285,,0.32258064516129026,0.5882352941176471,0.15384615384615385,0.2,0.33333333333333337,0.24137931034482757,0.42857142857142855
貴州,,,,,1.0,0.33333333333333326,0.5,0.043478260869565216,0.33333333333333337,
雲南,,0.391304347826087,,0.26666666666666666,0.7272727272727273,0.2857142857142857,,0.1904761904761905,0.28846153846153844,
西藏自治區,,0.0,,,,,,,,
陝西,0.4137931034482759,0.625,,0.8108108108108109,,0.3333333333333333,0.4615384615384615,0.6785714285714286,0.7948717948717948,
甘肅,0.4444444444444445,,,0.1,0.5294117647058825,0.4285714285714286,,0.23076923076923075,0.3333333333333333,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,0.5,,,,,0.6,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.2926829268292683,0.25,0.34782608695652173,0.11111111111111112,,0.5652173913043478,
