,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.7142857142857143,,,,,,,0.09302325581395349,
河北,0.2857142857142857,0.45226130653266333,0.375,0.37267080745341613,0.2181818181818182,0.3745173745173745,0.5368421052631579,0.23404255319148937,0.4025423728813559,0.21428571428571427
山西,0.03076923076923077,0.2184873949579832,0.13043478260869565,0.06060606060606061,0.08108108108108107,0.27027027027027023,,0.26562499999999994,0.6305970149253731,
內蒙古自治區,,,,,,,,,,
遼寧,,,,1.0,0.39999999999999997,,,,0.36363636363636365,
吉林,,,,,,0.6666666666666666,,,,
黑龍江,,,,,,,,,0.3333333333333333,
上海,0.07142857142857142,0.28413284132841327,0.8169014084507042,0.17592592592592593,,0.4609375,0.3541666666666667,0.24000000000000002,0.4428571428571429,0.041666666666666664
江蘇,0.17171717171717174,0.5699658703071673,0.6846153846153846,0.6222222222222222,0.411214953271028,0.6296296296296297,0.18390804597701152,0.53125,0.4186046511627908,0.6515151515151515
浙江,0.21212121212121213,0.40668523676880225,0.3733333333333333,0.42288557213930345,0.41911764705882354,0.3620689655172414,0.3153846153846154,0.16666666666666666,0.3228346456692914,0.4716981132075471
安徽,0.22727272727272727,0.36036036036036034,0.4375,0.4383561643835617,0.3055555555555555,0.08571428571428572,0.09523809523809523,0.038461538461538464,0.2285714285714286,0.4285714285714286
福建,,0.12903225806451613,0.5625,0.3026315789473684,0.04878048780487805,0.30434782608695654,0.10526315789473685,,0.12727272727272726,0.22222222222222224
江西,0.14893617021276595,0.3263157894736842,,0.20689655172413793,0.3076923076923077,0.5588235294117647,0.12,0.27450980392156865,,
山東,0.27710843373493976,0.5251572327044025,0.606060606060606,0.34901960784313724,0.17105263157894737,0.31172839506172845,0.3888888888888889,0.12941176470588237,0.16313559322033896,
河南,0.1752577319587629,0.4038461538461538,0.09375,0.3950617283950617,0.323943661971831,0.17441860465116282,,0.08888888888888889,0.15027322404371585,0.04761904761904761
湖北,0.18867924528301885,0.22535211267605634,0.16666666666666666,0.19999999999999998,,0.3260869565217391,0.1090909090909091,0.06329113924050633,0.22580645161290322,
湖南,0.15789473684210525,0.0909090909090909,0.2727272727272727,0.09375,0.0588235294117647,0.10526315789473684,0.17142857142857143,0.088,,0.1
廣東,0.05128205128205128,0.07978723404255318,0.18518518518518517,0.13017751479289943,0.04901960784313725,0.34285714285714286,0.22680412371134018,,0.08387096774193549,0.25
廣西壯族自治區,,,,0.18604651162790695,,0.09523809523809523,0.034482758620689655,,0.18,
海南,,,,,0.8181818181818181,,0.0625,,,
重慶,,,,0.15384615384615385,0.16666666666666666,0.09523809523809523,0.2142857142857143,,0.19999999999999998,
四川,,0.14285714285714285,,0.4193548387096774,0.2352941176470588,,,0.38461538461538464,0.40229885057471265,0.35714285714285715
貴州,,,,,,0.16666666666666663,,,0.030303030303030304,
雲南,,0.08695652173913043,,,,,0.16666666666666666,0.09523809523809525,0.11538461538461539,
西藏自治區,,0.0,,,,,,,,
陝西,,0.3611111111111111,,0.7837837837837839,,0.1,0.23076923076923075,0.2857142857142857,0.5982905982905983,0.19999999999999998
甘肅,,,,0.25,,0.14285714285714288,,,0.14814814814814814,0.5
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.34782608695652173,,0.3170731707317073,0.25,0.21739130434782608,0.4444444444444445,,0.08695652173913045,
