,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.5,,,,,,,0.21052631578947367,
天津,,0.14285714285714285,,,,,,,,
河北,0.3540372670807453,0.4396984924623116,0.3194444444444445,0.4720496894409938,0.27272727272727276,0.444015444015444,0.21052631578947364,0.36170212765957444,0.2754237288135593,
山西,0.06153846153846154,0.4957983193277311,0.2608695652173913,0.19696969696969696,0.1891891891891892,0.43243243243243246,0.24489795918367344,0.46875,0.664179104477612,
內蒙古自治區,,,,,,,,,,
遼寧,,,,1.0,,0.33333333333333337,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.44642857142857145,0.45387453874538747,0.3802816901408451,0.20370370370370372,0.2857142857142857,0.15624999999999997,,,0.14285714285714288,
江蘇,0.35353535353535354,0.24573378839590443,0.3384615384615384,0.2722222222222222,0.34579439252336447,0.20370370370370372,0.3333333333333333,0.35416666666666663,0.36821705426356593,0.13636363636363635
浙江,0.38383838383838387,0.38440111420612816,0.29333333333333333,0.2885572139303483,0.463235294117647,0.43534482758620696,0.39230769230769236,0.27083333333333337,0.21259842519685038,0.1509433962264151
安徽,0.47727272727272724,0.3783783783783784,0.4375,0.0958904109589041,0.19444444444444445,0.08571428571428572,0.14285714285714285,0.25641025641025644,0.17142857142857143,0.14285714285714285
福建,0.09999999999999999,0.435483870967742,0.6875,0.2105263157894737,0.34146341463414637,0.17391304347826086,,0.0625,0.2909090909090909,0.11111111111111112
江西,0.14893617021276595,0.4105263157894737,,0.10344827586206896,0.2820512820512821,0.3235294117647059,0.04,0.14705882352941174,,
山東,0.1325301204819277,0.41509433962264153,0.2626262626262626,0.4117647058823529,0.3289473684210526,0.40740740740740744,0.3333333333333333,0.4117647058823529,0.42372881355932196,0.3333333333333333
河南,0.4742268041237114,0.5076923076923077,0.28125,0.4259259259259259,0.5070422535211268,0.39534883720930236,,0.044444444444444446,0.40710382513661203,0.04761904761904761
湖北,0.3018867924528302,0.3098591549295775,0.1111111111111111,0.2727272727272727,0.5,0.24637681159420288,0.07272727272727274,0.18987341772151897,0.3387096774193548,
湖南,0.15789473684210525,0.13636363636363635,0.5454545454545454,0.28125,0.1372549019607843,0.1929824561403509,0.09999999999999999,0.136,0.20512820512820515,
廣東,,0.18617021276595744,,0.1715976331360947,0.0980392156862745,0.23809523809523808,0.32989690721649484,0.26229508196721313,0.23870967741935484,0.5
廣西壯族自治區,,0.10869565217391304,,0.23255813953488372,0.19999999999999998,0.19047619047619047,,,0.24,0.1
海南,,0.10344827586206896,,0.2,,0.46153846153846156,0.1875,0.2,0.09090909090909091,
重慶,,,,0.3076923076923077,0.3333333333333333,,0.28571428571428575,0.3793103448275862,0.4666666666666666,
四川,,,,0.19354838709677416,0.5294117647058824,0.07692307692307693,0.13333333333333333,0.38461538461538464,0.27586206896551724,0.07142857142857144
貴州,,,,,,,0.125,,0.33333333333333337,
雲南,,0.17391304347826086,,0.06666666666666667,0.09090909090909091,,,,0.038461538461538464,0.5
西藏自治區,,0.0,,,,,,,,
陝西,0.4827586206896552,0.3888888888888889,1.0,0.7297297297297298,0.3333333333333333,0.6333333333333333,,0.35714285714285715,0.6495726495726495,
甘肅,0.22222222222222224,,,0.2,0.7647058823529412,0.14285714285714288,0.19999999999999998,0.23076923076923075,0.1111111111111111,0.5
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.19512195121951217,,0.13043478260869565,0.11111111111111112,0.16666666666666666,0.08695652173913045,
