,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,0.42857142857142855,,,0.1,,,,,
河北,0.2795031055900621,0.2814070351758794,0.3194444444444445,0.2608695652173913,0.2,0.23938223938223938,0.11052631578947368,0.09219858156028368,0.3432203389830509,
山西,0.07692307692307693,0.47058823529411764,0.043478260869565216,0.10606060606060606,0.08108108108108107,0.43243243243243246,0.04081632653061224,0.203125,0.5223880597014926,
內蒙古自治區,,,,,,,,,,
遼寧,,,,1.0,,0.6666666666666667,0.2,,0.2727272727272727,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.21428571428571427,0.33948339483394835,0.9295774647887325,0.26851851851851855,,0.5234375,0.5416666666666666,,0.11904761904761905,
江蘇,0.29292929292929293,0.40273037542662116,0.4923076923076923,0.2972222222222222,0.3177570093457944,0.42592592592592593,0.13793103448275862,0.19791666666666666,0.1046511627906977,0.34848484848484845
浙江,0.33333333333333337,0.38997214484679665,0.13333333333333333,0.14427860696517414,0.33088235294117646,0.5,0.4461538461538462,0.0625,0.27165354330708663,0.07547169811320754
安徽,0.25,0.3153153153153153,0.21875,0.3424657534246575,0.027777777777777776,0.11428571428571428,,,0.14285714285714285,0.14285714285714285
福建,0.19999999999999998,0.22580645161290322,0.625,0.10526315789473685,0.04878048780487805,0.391304347826087,0.3157894736842105,0.43750000000000006,0.14545454545454545,
江西,0.1702127659574468,0.16842105263157894,,0.2413793103448276,,0.37254901960784315,,0.13725490196078433,,0.75
山東,0.08433734939759036,0.38679245283018865,0.5353535353535352,0.3215686274509804,0.19078947368421054,0.3395061728395062,0.2160493827160494,0.14117647058823532,0.298728813559322,0.08333333333333333
河南,0.10309278350515465,0.4269230769230769,0.125,0.22839506172839502,0.323943661971831,0.15116279069767444,0.33333333333333337,0.15555555555555556,0.42622950819672134,0.2857142857142857
湖北,0.18867924528301885,0.056338028169014086,0.2222222222222222,0.23636363636363636,,0.47101449275362317,0.09090909090909091,0.3670886075949367,0.08064516129032258,
湖南,0.26315789473684215,0.13636363636363635,,0.1875,0.1568627450980392,0.10526315789473684,0.04285714285714286,0.22400000000000003,0.05128205128205129,
廣東,0.30769230769230765,0.18085106382978722,0.037037037037037035,0.13017751479289943,0.10784313725490195,0.19047619047619047,0.18556701030927836,0.13114754098360656,0.17419354838709677,
廣西壯族自治區,1.0,0.30434782608695654,,0.3720930232558139,0.19999999999999998,0.047619047619047616,0.13793103448275862,0.375,0.25,
海南,1.0,0.10344827586206896,,,,0.15384615384615385,0.125,,,
重慶,,,,,,0.23809523809523808,0.2142857142857143,0.3793103448275862,0.39999999999999997,
四川,,0.14285714285714285,,0.06451612903225806,0.4705882352941176,0.07692307692307693,0.2,0.33333333333333337,0.2988505747126437,
貴州,,,,,,0.16666666666666663,0.25,0.043478260869565216,0.030303030303030304,
雲南,,0.08695652173913043,,0.06666666666666667,0.18181818181818182,0.14285714285714285,0.16666666666666666,0.04761904761904762,0.019230769230769232,
西藏自治區,,0.0,,,,,,,,
陝西,0.10344827586206898,0.4166666666666667,,0.7027027027027027,,0.06666666666666667,,0.25,0.6495726495726495,
甘肅,0.22222222222222224,,,0.15,,,,0.15384615384615383,0.2962962962962963,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.08695652173913043,,0.048780487804878044,0.16666666666666666,0.21739130434782608,0.11111111111111112,0.6666666666666666,0.30434782608695654,
