,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.1875,,,,,,,0.2631578947368421,
天津,,0.42857142857142855,,0.5,,,,,0.5348837209302325,
河北,0.6273291925465838,0.3919597989949749,0.09722222222222224,0.3167701863354037,0.2181818181818182,0.4864864864864864,0.5210526315789473,0.1702127659574468,0.4025423728813559,0.7142857142857143
山西,0.18461538461538463,0.06722689075630252,,0.1818181818181818,0.1891891891891892,0.21621621621621623,,0.203125,0.02611940298507463,
內蒙古自治區,,,,,,,,,0.25,
遼寧,,,,,0.19999999999999998,0.33333333333333337,,,0.2727272727272727,0.5
吉林,,,,,,,,,,
黑龍江,,,,,,,,,0.6666666666666666,
上海,0.5357142857142857,0.4686346863468634,0.7605633802816902,0.5277777777777778,0.5,0.640625,0.1875,0.44,0.2571428571428571,
江蘇,0.36363636363636365,0.6825938566552902,0.6846153846153846,0.6166666666666666,0.4766355140186916,0.825925925925926,0.471264367816092,0.46874999999999994,0.4728682170542636,0.9090909090909091
浙江,0.48484848484848486,0.6713091922005571,0.68,0.7014925373134329,0.3088235294117647,0.6508620689655173,0.5461538461538462,0.25,0.5078740157480315,0.7735849056603773
安徽,0.4318181818181818,0.4774774774774775,0.71875,0.5205479452054794,0.3611111111111111,0.5428571428571429,0.14285714285714285,0.3461538461538462,0.42857142857142855,1.0
福建,0.23333333333333334,0.5080645161290324,0.6875,0.5921052631578947,0.4146341463414634,0.30434782608695654,0.26315789473684215,0.375,0.5818181818181818,0.22222222222222224
江西,0.46808510638297873,0.3368421052631579,0.6666666666666667,0.3793103448275862,0.10256410256410257,0.6470588235294118,0.16,0.3235294117647059,0.1904761904761905,0.75
山東,0.4216867469879518,0.2893081761006289,0.4949494949494949,0.3254901960784314,0.23684210526315788,0.3148148148148149,0.48765432098765427,0.32941176470588235,0.3453389830508474,0.4444444444444444
河南,0.30927835051546393,0.29615384615384616,0.375,0.3703703703703703,0.3943661971830986,0.39534883720930236,0.33333333333333337,0.4444444444444445,0.2568306010928962,0.14285714285714285
湖北,0.4528301886792453,0.2676056338028169,0.7777777777777778,0.45454545454545453,0.07142857142857144,0.6739130434782609,0.5272727272727273,0.4177215189873418,0.5806451612903225,
湖南,0.5789473684210527,0.1590909090909091,,0.3125,0.3725490196078431,0.33333333333333337,0.3857142857142857,0.432,0.15384615384615385,0.8
廣東,0.41025641025641024,0.35638297872340424,0.4444444444444444,0.4260355029585799,0.49019607843137253,0.6666666666666666,0.48453608247422675,0.38524590163934425,0.4967741935483871,0.5
廣西壯族自治區,,0.2391304347826087,0.1,0.04651162790697674,0.09999999999999999,0.16666666666666666,0.27586206896551724,0.125,0.41,0.3
海南,1.0,0.3793103448275862,1.0,0.2,0.0909090909090909,,0.1875,,,
重慶,,,,0.15384615384615385,,0.5238095238095238,0.5,0.3448275862068966,0.06666666666666667,
四川,,,,0.3548387096774193,0.29411764705882354,0.23076923076923075,0.13333333333333333,0.6153846153846153,0.28735632183908044,0.28571428571428575
貴州,,,,0.4,,0.5,0.25,0.21739130434782608,0.09090909090909093,
雲南,0.2,0.2608695652173913,,0.26666666666666666,0.27272727272727276,0.14285714285714285,0.16666666666666666,0.23809523809523808,0.6538461538461539,0.5
西藏自治區,,0.0,,,,,,,,
陝西,0.27586206896551724,0.18055555555555555,,0.13513513513513514,,,0.3076923076923077,0.5,0.3504273504273504,
甘肅,,,,0.4,0.05882352941176471,0.28571428571428575,,0.30769230769230765,0.25925925925925924,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.08695652173913043,,0.09756097560975609,,0.3913043478260869,0.11111111111111112,,0.3913043478260869,
