,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,0.007722007722007721,,,,
山西,,0.058823529411764705,0.391304347826087,,,,,,0.05597014925373135,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.02785515320334262,,,,,,0.08333333333333333,0.011811023622047244,0.2830188679245283
安徽,,,,,,,,,,
福建,,,,0.019736842105263157,,,,,,
江西,,,,,,,,,,
山東,,0.02830188679245283,,,,0.03395061728395062,,0.023529411764705882,,
河南,,0.0846153846153846,,,0.21126760563380284,,,,,
湖北,,,,0.054545454545454536,,,,,,
湖南,,,,,,0.01754385964912281,,0.048,,0.4
廣東,,,,,,0.10476190476190476,,0.07377049180327867,0.025806451612903226,
廣西壯族自治區,,,,,,,,,0.039999999999999994,
海南,,,,,,,,,,
重慶,,,,,,,,0.13793103448275865,0.19999999999999998,
四川,,,,0.06451612903225806,,,0.2,,0.09195402298850575,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.10810810810810811,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.3478260869565218,
