,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,0.2,,,,0.09302325581395349,
河北,0.2795031055900621,0.07035175879396985,,0.14906832298136646,0.17272727272727273,0.13127413127413126,0.3789473684210526,0.09929078014184396,0.1440677966101695,
山西,0.09230769230769231,0.03361344537815126,,0.0909090909090909,0.05405405405405405,0.1891891891891892,0.12244897959183672,0.25,0.1865671641791045,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.011070110701107012,0.6760563380281691,0.027777777777777776,,0.05468749999999999,0.3125,,0.18571428571428572,
江蘇,0.04040404040404041,0.12286689419795221,0.3384615384615384,0.1277777777777778,0.17757009345794394,0.02962962962962963,0.25287356321839083,0.03125,0.29069767441860467,
浙江,,0.07799442896935933,0.2533333333333333,0.10945273631840796,,0.012931034482758622,0.26153846153846155,,0.1141732283464567,
安徽,0.06818181818181818,0.2522522522522523,,0.1643835616438356,0.08333333333333333,0.08571428571428572,0.16666666666666666,0.10256410256410256,0.14285714285714285,
福建,,0.04032258064516129,,,0.04878048780487805,0.08695652173913043,,,0.01818181818181818,0.11111111111111112
江西,0.02127659574468085,0.042105263157894736,,,,0.12745098039215688,0.08,,,0.25
山東,0.09638554216867469,0.25471698113207547,0.3333333333333333,0.16470588235294117,0.13157894736842105,0.25,0.41358024691358025,0.2529411764705883,0.260593220338983,0.05555555555555555
河南,0.3298969072164949,0.28076923076923077,0.1875,0.04938271604938271,0.056338028169014086,0.15116279069767444,,0.2,0.18032786885245902,
湖北,,0.09859154929577466,,0.09090909090909091,,0.04347826086956521,0.16363636363636364,0.0379746835443038,0.03225806451612903,
湖南,,0.022727272727272724,,0.03125,,,0.15714285714285714,0.032,0.025641025641025644,
廣東,,0.005319148936170213,0.25925925925925924,,0.029411764705882353,0.20952380952380953,0.06185567010309278,0.06557377049180328,0.019354838709677417,
廣西壯族自治區,,,,0.04651162790697674,0.09999999999999999,0.4047619047619047,0.2413793103448276,0.0625,0.03,0.1
海南,,,,,,,,,,
重慶,,,,,,0.09523809523809523,,0.3103448275862069,,
四川,,,,,,,0.06666666666666667,0.1794871794871795,,
貴州,,,,,,,,,0.030303030303030304,
雲南,,,,,,,,,0.057692307692307696,
西藏自治區,,0.0,,,,,,,,
陝西,0.06896551724137931,,,,,0.06666666666666667,0.15384615384615385,0.4642857142857143,0.034188034188034185,
甘肅,,,,,,0.4285714285714286,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,0.08333333333333333,,
