,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.8,0.31249999999999994,,,,,,,0.3157894736842105,
天津,,,,,0.1,,,1.0,,
河北,0.12422360248447205,0.08542713567839197,0.5,0.006211180124223602,,0.011583011583011582,0.08421052631578947,0.2836879432624113,0.29661016949152536,
山西,0.2923076923076923,0.058823529411764705,0.08695652173913043,0.015151515151515152,,0.06756756756756756,0.14285714285714285,0.5312499999999999,0.4365671641791045,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.21771217712177118,0.09859154929577466,0.0925925925925926,,0.0859375,,,0.3476190476190476,
江蘇,0.10101010101010102,0.10238907849829351,0.05384615384615384,0.13055555555555556,0.102803738317757,0.08148148148148149,0.02298850574712644,0.17708333333333331,0.124031007751938,
浙江,0.1313131313131313,0.0807799442896936,0.04,0.004975124378109453,0.338235294117647,0.09482758620689656,0.09230769230769231,0.17708333333333334,0.08661417322834646,0.07547169811320754
安徽,0.045454545454545456,,,0.027397260273972605,,0.02857142857142857,0.09523809523809523,,,
福建,0.13333333333333333,0.048387096774193554,,0.09868421052631579,,0.043478260869565216,,,,
江西,0.12765957446808512,,,0.06896551724137931,0.25641025641025644,0.25490196078431376,0.04,0.16666666666666666,0.04761904761904762,
山東,0.07228915662650602,0.031446540880503145,0.23232323232323232,0.01568627450980392,0.03289473684210526,0.0617283950617284,0.2654320987654321,0.3235294117647059,0.13983050847457626,0.3055555555555556
河南,0.07216494845360825,0.26153846153846155,0.28125,0.030864197530864196,0.16901408450704225,0.1046511627906977,,0.022222222222222223,0.18032786885245902,
湖北,0.05660377358490566,0.028169014084507043,0.2222222222222222,,,0.4492753623188405,,0.0379746835443038,0.16129032258064516,
湖南,0.26315789473684215,0.13636363636363635,,0.0625,,0.10526315789473684,0.08571428571428572,0.024,0.15384615384615385,
廣東,0.02564102564102564,0.010638297872340425,,0.01775147928994083,0.0392156862745098,0.07619047619047618,0.15463917525773194,0.040983606557377046,0.1032258064516129,
廣西壯族自治區,1.0,0.06521739130434782,,0.11627906976744186,,,,0.0625,0.039999999999999994,
海南,,0.20689655172413793,,,,0.23076923076923078,,,0.5454545454545455,
重慶,,,,,,0.23809523809523808,,,,
四川,,,,,,,,0.20512820512820512,0.2988505747126437,
貴州,,,,,,,0.25,,0.030303030303030304,
雲南,,0.043478260869565216,,,0.09090909090909091,0.14285714285714285,0.08333333333333333,0.42857142857142855,0.019230769230769232,
西藏自治區,,0.0,,,,,,,,
陝西,0.034482758620689655,0.4166666666666667,,,0.3333333333333333,0.13333333333333333,,0.32142857142857145,0.042735042735042736,
甘肅,,,,,,,,0.38461538461538464,0.037037037037037035,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.08695652173913045,
