,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,0.6249999999999999,,,0.6,0.5,,,0.631578947368421,
天津,,0.7142857142857143,,1.0,0.4,,,,0.9069767441860465,
河北,0.7391304347826086,0.5276381909547739,0.513888888888889,0.6024844720496895,0.15454545454545457,0.6911196911196911,0.6,0.5602836879432624,0.5423728813559322,1.0
山西,0.38461538461538464,0.6302521008403361,0.782608695652174,0.13636363636363635,0.48648648648648646,0.47297297297297297,0.4693877551020408,0.75,0.75,
內蒙古自治區,,,,,1.0,,,,0.125,
遼寧,,,,,0.7999999999999999,0.33333333333333337,0.2,,0.5454545454545454,1.0
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.8214285714285714,0.8413284132841329,0.6056338028169015,0.7592592592592593,1.0,0.8125,0.8541666666666666,0.7600000000000001,0.8523809523809525,0.9583333333333334
江蘇,0.5454545454545455,0.6450511945392492,0.5846153846153845,0.6,0.588785046728972,0.7666666666666667,0.6896551724137931,0.6458333333333333,0.5503875968992249,0.8939393939393939
浙江,0.6161616161616161,0.7994428969359331,0.6133333333333333,0.572139303482587,0.6691176470588235,0.8232758620689656,0.7384615384615385,0.5104166666666666,0.6968503937007874,0.9811320754716981
安徽,0.5909090909090909,0.6936936936936937,0.90625,0.6027397260273972,0.5,0.6,0.23809523809523808,0.6153846153846154,0.2857142857142857,0.7142857142857143
福建,0.6333333333333333,0.7500000000000001,0.6875,0.7763157894736842,0.6585365853658537,0.5652173913043478,0.5789473684210527,0.75,0.7090909090909091,0.888888888888889
江西,0.6808510638297872,0.5052631578947369,0.6666666666666667,0.3448275862068966,0.6153846153846154,0.3823529411764706,0.64,0.7647058823529411,0.4761904761904763,
山東,0.4216867469879518,0.5628930817610063,0.5858585858585859,0.615686274509804,0.5921052631578947,0.7345679012345679,0.4567901234567901,0.6529411764705882,0.7881355932203389,0.861111111111111
河南,0.7010309278350516,0.573076923076923,0.75,0.41975308641975306,0.4366197183098592,0.313953488372093,0.6666666666666667,0.7777777777777778,0.5109289617486339,0.7142857142857142
湖北,0.3584905660377358,0.47887323943661975,0.1111111111111111,0.509090909090909,0.6428571428571428,0.3768115942028985,0.5454545454545455,0.5316455696202531,0.4193548387096774,1.0
湖南,0.4210526315789474,0.4318181818181818,0.2727272727272727,0.4375,0.5490196078431372,0.3508771929824561,0.7714285714285714,0.664,0.4615384615384616,0.5
廣東,0.5641025641025641,0.7287234042553191,0.6666666666666666,0.6568047337278108,0.6666666666666667,0.6095238095238095,0.8247422680412371,0.6393442622950819,0.664516129032258,0.625
廣西壯族自治區,1.0,0.5,0.4,0.6511627906976744,0.6,0.42857142857142855,0.3448275862068966,0.5,0.5399999999999999,0.9
海南,1.0,0.8620689655172414,,0.6000000000000001,0.0909090909090909,0.6153846153846154,0.375,,0.6363636363636364,
重慶,,1.0,,0.15384615384615385,0.8333333333333334,0.47619047619047616,0.3571428571428572,0.7586206896551724,0.4666666666666666,
四川,,0.07142857142857142,,0.3548387096774193,0.5294117647058824,0.923076923076923,0.6666666666666667,0.7435897435897436,0.44827586206896547,0.42857142857142855
貴州,0.5,0.3333333333333333,,0.4,0.6666666666666666,0.33333333333333326,0.625,0.9565217391304347,0.5757575757575758,
雲南,0.8,0.30434782608695654,,0.26666666666666666,0.27272727272727276,0.35714285714285715,0.5,0.23809523809523808,0.5,0.5
西藏自治區,,0.0,,,,,,,,
陝西,0.7586206896551725,0.638888888888889,1.0,0.6216216216216217,0.3333333333333333,0.4666666666666667,0.3846153846153846,0.9285714285714286,0.4700854700854701,
甘肅,0.5555555555555556,,,0.25,0.8823529411764707,0.5714285714285715,,0.7692307692307693,0.4444444444444444,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,0.5,,,,1.0,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.3913043478260869,0.125,0.3170731707317073,0.16666666666666666,0.47826086956521735,0.11111111111111112,,0.5217391304347826,
