,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.1875,,,,,,,0.5263157894736842,
天津,,,,,,,,,0.09302325581395349,
河北,0.16770186335403728,0.13819095477386936,,0.08074534161490683,0.2,0.3127413127413127,0.29473684210526313,0.10638297872340426,0.08050847457627118,0.5
山西,0.1076923076923077,0.2184873949579832,,0.12121212121212122,0.08108108108108107,0.06756756756756756,0.04081632653061224,0.203125,0.30597014925373134,
內蒙古自治區,,,,,,,,,0.625,
遼寧,,,,,,,,,0.2727272727272727,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.03571428571428571,0.2804428044280443,0.43661971830985924,0.1851851851851852,,0.203125,0.3958333333333333,0.16,0.44761904761904764,
江蘇,0.11111111111111112,0.20477815699658702,0.030769230769230767,0.05555555555555555,0.19626168224299065,0.037037037037037035,0.12643678160919541,0.22916666666666666,0.2868217054263566,0.18181818181818182
浙江,0.04040404040404041,0.29526462395543174,,0.13432835820895522,0.2205882352941176,0.2629310344827587,0.3461538461538462,0.13541666666666669,0.24015748031496062,
安徽,0.13636363636363635,0.18018018018018017,,0.0821917808219178,0.05555555555555555,0.3142857142857143,0.21428571428571425,0.1923076923076923,0.08571428571428572,
福建,0.06666666666666667,0.03225806451612903,0.25,0.10526315789473685,0.04878048780487805,0.08695652173913043,,0.125,0.07272727272727272,
江西,0.1702127659574468,0.12631578947368421,,0.13793103448275862,0.3076923076923077,0.09803921568627451,0.27999999999999997,0.3235294117647059,0.3333333333333333,
山東,0.03614457831325301,0.07547169811320754,0.12121212121212122,0.11372549019607843,0.19736842105263158,0.31790123456790126,0.29012345679012347,0.33529411764705885,0.2330508474576271,0.6805555555555556
河南,0.26804123711340205,0.2269230769230769,0.03125,0.055555555555555546,0.11267605633802817,0.23255813953488375,,0.13333333333333336,0.15300546448087432,0.14285714285714285
湖北,0.03773584905660377,0.08450704225352113,,0.03636363636363636,,0.10869565217391303,0.18181818181818182,0.10126582278481013,0.22580645161290322,1.0
湖南,0.26315789473684215,0.04545454545454545,,0.28125,0.0392156862745098,0.21052631578947367,0.17142857142857143,0.47200000000000003,0.07692307692307693,
廣東,,0.22872340425531915,,0.04142011834319527,0.029411764705882353,0.2571428571428572,0.020618556701030927,0.360655737704918,0.17419354838709677,
廣西壯族自治區,,0.2608695652173913,,0.02325581395348837,,0.09523809523809523,0.06896551724137931,0.1875,0.12,
海南,,,,,,,,,,
重慶,,,,,,,,0.5517241379310346,0.13333333333333333,
四川,,,,0.16129032258064513,,0.15384615384615385,,0.38461538461538464,0.22988505747126436,
貴州,,,,,,,,,0.030303030303030304,
雲南,,0.17391304347826086,,0.19999999999999998,,,0.08333333333333333,,0.11538461538461539,
西藏自治區,,0.0,,,,1.0,,,,
陝西,0.10344827586206898,0.2777777777777778,,,,0.43333333333333335,,0.10714285714285714,0.17094017094017094,
甘肅,0.6666666666666666,,,0.05,0.05882352941176471,0.4285714285714286,,0.4615384615384615,0.14814814814814814,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,,,0.6,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.08333333333333333,,,,0.3913043478260869,
