,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,,,,,,,,0.3684210526315789,
天津,,,,0.5,0.2,,,,0.41860465116279066,
河北,0.2484472049689441,0.135678391959799,,0.062111801242236024,0.027272727272727275,0.09266409266409266,0.24736842105263154,0.18439716312056736,0.11016949152542373,
山西,0.09230769230769231,0.01680672268907563,0.34782608695652173,0.030303030303030304,,0.10810810810810811,0.42857142857142855,,0.1082089552238806,
內蒙古自治區,,,,,1.0,,,,0.875,
遼寧,,,,,0.7999999999999999,,0.2,,,
吉林,,,,,,1.0,,,,
黑龍江,,,,,,,,,,
上海,0.4642857142857143,0.2656826568265683,,0.10185185185185186,0.6428571428571429,0.13281249999999997,0.08333333333333333,0.36000000000000004,0.4571428571428572,
江蘇,0.22222222222222224,0.2525597269624573,0.34615384615384615,0.14722222222222223,0.1588785046728972,0.1962962962962963,0.26436781609195403,0.29166666666666663,0.20155038759689925,0.6363636363636364
浙江,0.25252525252525254,0.4373259052924791,,0.1492537313432836,0.2205882352941176,0.27155172413793105,0.038461538461538464,0.16666666666666666,0.23622047244094488,0.1320754716981132
安徽,0.3409090909090909,0.3333333333333333,0.75,0.1780821917808219,0.16666666666666666,0.08571428571428572,0.16666666666666666,0.20512820512820512,0.2285714285714286,
福建,0.26666666666666666,0.3225806451612903,,0.3026315789473684,0.17073170731707318,0.043478260869565216,0.052631578947368425,0.375,0.07272727272727272,
江西,0.2978723404255319,0.35789473684210527,,0.10344827586206896,0.17948717948717952,0.12745098039215688,0.27999999999999997,0.4411764705882353,0.1904761904761905,0.75
山東,0.2650602409638554,0.05031446540880503,,0.1450980392156863,0.10526315789473684,0.2623456790123457,0.154320987654321,0.31176470588235294,0.20338983050847456,0.3333333333333333
河南,0.26804123711340205,0.25384615384615383,,0.04938271604938271,,0.16279069767441862,,0.3777777777777778,0.12295081967213116,0.23809523809523805
湖北,0.09433962264150943,0.028169014084507043,0.3333333333333333,0.01818181818181818,0.07142857142857144,0.18115942028985504,0.32727272727272727,0.4050632911392405,0.29032258064516125,1.0
湖南,0.10526315789473685,0.29545454545454547,,0.15625,0.0392156862745098,0.08771929824561403,0.15714285714285714,0.36,0.12820512820512822,0.2
廣東,0.3846153846153846,0.2872340425531915,0.48148148148148145,0.14792899408284024,0.029411764705882353,0.2857142857142857,0.10309278350515463,0.2786885245901639,0.34838709677419355,0.375
廣西壯族自治區,,0.15217391304347827,0.3,0.20930232558139536,,0.11904761904761904,,0.0625,0.039999999999999994,
海南,,0.20689655172413793,,,,0.3076923076923077,0.3125,,0.27272727272727276,
重慶,,0.5,,0.15384615384615385,,,0.2142857142857143,0.24137931034482757,0.5333333333333333,
四川,,0.35714285714285715,,0.5483870967741935,,0.23076923076923075,0.4,0.38461538461538464,0.3563218390804597,0.07142857142857144
貴州,,0.3333333333333333,,,0.6666666666666666,0.16666666666666663,0.25,0.3913043478260869,0.3636363636363637,
雲南,0.4,0.2608695652173913,,0.19999999999999998,,,,0.2857142857142857,0.21153846153846154,1.0
西藏自治區,,0.0,,,,,,,,
陝西,0.034482758620689655,0.09722222222222222,,,0.3333333333333333,0.13333333333333333,0.07692307692307693,0.03571428571428571,0.008547008547008546,0.39999999999999997
甘肅,,,,0.05,,0.14285714285714288,,0.15384615384615383,,
青海,,,0.0,,,,,1.0,,
寧夏回族自治區,,,,,,,,1.0,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.048780487804878044,,,,,0.13043478260869565,
