,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.125,,,,,,,,
天津,,0.5714285714285714,,,,,,,,
河北,0.46583850931677023,0.33417085427135684,0.11111111111111112,0.22360248447204967,0.2545454545454546,0.32046332046332043,0.43684210526315786,0.2765957446808511,0.28389830508474573,0.2857142857142857
山西,0.2307692307692308,0.40336134453781514,0.30434782608695654,0.21212121212121213,0.2702702702702703,0.3783783783783784,0.4693877551020408,0.5625,0.7313432835820896,
內蒙古自治區,,,,,,,,,0.5,
遼寧,,,,0.6666666666666666,0.6,,0.4,,0.09090909090909091,
吉林,,,,,,0.3333333333333333,,,,
黑龍江,,,,,,,,,0.3333333333333333,
上海,0.5892857142857143,0.6383763837638377,0.4507042253521127,0.6018518518518519,,0.5312499999999999,0.20833333333333331,0.44,0.7285714285714285,0.625
江蘇,0.19191919191919193,0.4880546075085324,0.6076923076923076,0.5055555555555555,0.38317757009345793,0.6148148148148148,0.4827586206896552,0.5208333333333334,0.22093023255813954,0.36363636363636365
浙江,0.47474747474747475,0.6044568245125348,0.8266666666666667,0.39800995024875624,0.4779411764705882,0.4267241379310345,0.39230769230769236,0.14583333333333334,0.4094488188976378,0.5660377358490566
安徽,0.2727272727272727,0.1891891891891892,0.9687500000000001,0.4657534246575343,0.2222222222222222,0.22857142857142856,0.023809523809523808,0.3076923076923077,0.2571428571428572,0.4285714285714286
福建,,0.26612903225806456,0.8125000000000001,0.19736842105263158,0.36585365853658536,0.34782608695652173,0.4210526315789474,0.25,0.2,0.5555555555555556
江西,0.2127659574468085,0.3473684210526316,,0.2413793103448276,0.3076923076923077,0.39215686274509803,0.12,0.24509803921568626,0.380952380952381,0.25
山東,0.4216867469879518,0.3081761006289308,0.4444444444444444,0.2392156862745098,0.17763157894736842,0.308641975308642,0.35802469135802467,0.023529411764705882,0.29237288135593215,0.375
河南,0.3917525773195876,0.33076923076923076,0.28125,0.22839506172839502,0.2676056338028169,0.24418604651162792,,0.044444444444444446,0.3360655737704918,
湖北,0.1320754716981132,0.09859154929577466,0.3888888888888889,0.21818181818181814,,0.2753623188405797,0.018181818181818184,0.18987341772151897,0.24193548387096772,
湖南,0.4210526315789474,0.1590909090909091,,0.15625,0.5098039215686274,0.15789473684210525,0.3857142857142857,0.28,0.3076923076923077,0.4
廣東,0.02564102564102564,0.13829787234042554,0.14814814814814814,0.15976331360946747,0.2745098039215686,0.26666666666666666,0.11340206185567009,0.40163934426229503,0.14193548387096774,0.625
廣西壯族自治區,,0.2391304347826087,,0.23255813953488372,0.09999999999999999,0.09523809523809523,0.20689655172413796,,0.24,
海南,,0.06896551724137931,,,0.0909090909090909,0.07692307692307693,,,0.27272727272727276,
重慶,,,,0.4615384615384615,,0.3333333333333333,,0.4482758620689655,,
四川,,0.07142857142857142,,0.4193548387096774,0.0588235294117647,0.15384615384615385,0.4,0.5641025641025641,0.45977011494252873,0.14285714285714288
貴州,,,,,,,,0.21739130434782608,0.45454545454545453,
雲南,,0.30434782608695654,,,,0.07142857142857142,0.08333333333333333,0.14285714285714285,0.21153846153846154,
西藏自治區,,0.0,,,,,,,,
陝西,0.3103448275862069,0.3194444444444445,1.0,0.7027027027027027,,0.16666666666666666,0.3846153846153846,0.5357142857142857,0.5641025641025641,0.7999999999999999
甘肅,0.11111111111111112,,,,0.11764705882352942,,,0.23076923076923075,0.25925925925925924,
青海,,,0.0,,,,,1.0,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.3913043478260869,,0.21951219512195122,,0.34782608695652173,0.22222222222222224,,0.13043478260869565,
